Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Chimwemwe,60605947,,,"Chimwemwe,Sun FMFM, Icengelo,","Chimwemwe,Sun FMFM, Icengelo,","Chimwemwe,Icengelo,",Chimwemwe,"Chimwemwe,Icengelo","Chimwemwe,Icengelo","Chimwemwe,Icengelo"
Icengelo,60605947,,,"Chimwemwe,Sun FMFM, Icengelo,","Chimwemwe,Sun FMFM, Icengelo,","Chimwemwe,Icengelo,",Chimwemwe,"Chimwemwe,Icengelo","Chimwemwe,Icengelo","Chimwemwe,Icengelo"
Icengelo,60606205,,,"Baptist Faith,BBC,Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4, ","Baptist Faith,BBC,Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4, ","Chimwemwe,Icengelo,Radio 1,Radio 2,",Icengelo,"Icengelo,Radio 1,Radio 1","Icengelo,Radio 1,Radio 1","Icengelo,Radio 1,Radio 2"
Radio 1,60606205,,,"Baptist Faith,BBC,Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4, ","Baptist Faith,BBC,Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4, ","Chimwemwe,Icengelo,Radio 1,Radio 2,",Icengelo,"Icengelo,Radio 1,Radio 1","Icengelo,Radio 1,Radio 1","Icengelo,Radio 1,Radio 2"
Q FM,60606294,,," Chimwemwe,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio 1,Radio 2,Radio 4,"," Chimwemwe,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio 1,Radio 2,Radio 4,","Chimwemwe,Q FM,",,Q FM,Q FM,Q FM
Kafue,60606891,,,"Radio Christian Voice,Kafue,Radio 1,Radio 2,Radio 4, Phoenix,","Radio Christian Voice,Kafue,Radio 1,Radio 2,Radio 4, Phoenix,","Radio Christian Voice,Kafue,Radio 1",,"Radio Christian Voice,Kafue","Radio Christian Voice,Kafue,Radio 1","Radio Christian Voice,Kafue,Radio 1"
Radio Christian Voice,60606891,,,"Radio Christian Voice,Kafue,Radio 1,Radio 2,Radio 4, Phoenix,","Radio Christian Voice,Kafue,Radio 1,Radio 2,Radio 4, Phoenix,","Radio Christian Voice,Kafue,Radio 1",,"Radio Christian Voice,Kafue","Radio Christian Voice,Kafue,Radio 1","Radio Christian Voice,Kafue,Radio 1"
Kafue,60606892,,,"Radio Christian Voice,Radio 1,Radio 2,Radio 4, Kafue,","Radio Christian Voice,Radio 1,Radio 2,Radio 4, Kafue,",Kafue,Kafue,Kafue,Kafue,Kafue
Phoenix,60606893,,,"5FM,BBC,Phoenix, Komboni Radio,Radio 1,Radio 2,Radio 4,","5FM,BBC,Phoenix, Komboni Radio,Radio 1,Radio 2,Radio 4,","5FM,BBC,Phoenix",BBC,"BBC,Phoenix","5FM,BBC,Phoenix","BBC,Phoenix"
BBC,60606893,,,"5FM,BBC,Phoenix, Komboni Radio,Radio 1,Radio 2,Radio 4,","5FM,BBC,Phoenix, Komboni Radio,Radio 1,Radio 2,Radio 4,","5FM,BBC,Phoenix",BBC,"BBC,Phoenix","5FM,BBC,Phoenix","BBC,Phoenix"
Radio 1,60606894,,,"Komboni Radio,Radio 2,Radio 4, Kafue,","Komboni Radio,Radio 2,Radio 4, Kafue,",Radio 2,Radio 1,Radio 1,Radio 1,Radio 2
Phoenix,60606895,,,"Kafue,Radio 4, Komboni Radio,Phoenix,Radio 1,Radio 2,","Kafue,Radio 4, Komboni Radio,Phoenix,Radio 1,Radio 2,",Phoenix,Phoenix,Phoenix,Phoenix,Phoenix
Radio 2,60606896,,,"Kafue,Komboni Radio,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM, Joy,Phoenix,Q FM,Radio Christian Voice,UNZA Radio,","Kafue,Komboni Radio,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM, Joy,Phoenix,Q FM,Radio Christian Voice,UNZA Radio,",Radio 4,Radio 2,Radio 2,Radio 2,Radio 4
Rise FM,60607037,,,"Icengelo,Kokoliko,Rise FM, Baptist Faith,Flava FM,Iwave,Phoenix,","Icengelo,Kokoliko,Rise FM, Baptist Faith,Flava FM,Iwave,Phoenix,","Icengelo,Iwave,Kokoliko,Rise FM,",,"Icengelo,Rise FM","Icengelo,Rise FM","Icengelo,Iwave,Kokoliko,Rise FM"
