Petauke Explorers  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Yesterday
19:30  -  19:44,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"6:00  -  6:14,6:30  -  6:44,6:45  -  6:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
9:45  -  9:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:15  -  19:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10:00  -  10:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10:45  -  10:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:00  -  19:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7:15  -  7:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:45  -  19:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10:30  -  10:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7:30  -  7:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:30  -  19:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7:45  -  7:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7:00  -  7:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
