Mazabuka  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Yesterday
22:00  -  22:14,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
22:15  -  22:29,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
20:30  -  20:44,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
21:00  -  21:14,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
19:30  -  19:44,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
21:30  -  21:44,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
22:30  -  22:44,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
19:15  -  19:29,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
21:45  -  21:59,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
23:00  -  23:14,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
23:45  -  23:59,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
22:45  -  22:59,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
21:15  -  21:29,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
23:15  -  23:29,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
19:00  -  19:14,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
19:45  -  19:59,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
20:15  -  20:29,60633440,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,D,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:45  -  23:59,0:00  -  0:14"
8:00  -  8:14,60635334,Southern,Mazabuka,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Part-Time,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60635334,Southern,Mazabuka,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Part-Time,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60635334,Southern,Mazabuka,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Part-Time,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60635334,Southern,Mazabuka,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Part-Time,C1,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
8:00  -  8:14,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
17:30  -  17:44,60665278,Southern,Mazabuka,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:15  -  17:29,60665278,Southern,Mazabuka,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:45  -  17:59,60665278,Southern,Mazabuka,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7:15  -  7:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:30  -  6:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:45  -  6:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:00  -  7:14,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
20:00  -  20:14,60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
22:15  -  22:29,60670470,Southern,Mazabuka,Rural,Female,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
23:00  -  23:14,60670470,Southern,Mazabuka,Rural,Female,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
22:30  -  22:44,60670470,Southern,Mazabuka,Rural,Female,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
23:15  -  23:29,60670470,Southern,Mazabuka,Rural,Female,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
22:45  -  22:59,60670470,Southern,Mazabuka,Rural,Female,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
22:00  -  22:14,60670470,Southern,Mazabuka,Rural,Female,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
18:00  -  18:14,60674429,Southern,Mazabuka,Rural,Male,0,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:30  -  18:44,60674429,Southern,Mazabuka,Rural,Male,0,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:15  -  18:29,60674429,Southern,Mazabuka,Rural,Male,0,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
19:15  -  19:29,60674429,Southern,Mazabuka,Rural,Male,0,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:45  -  18:59,60674429,Southern,Mazabuka,Rural,Male,0,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
19:00  -  19:14,60674429,Southern,Mazabuka,Rural,Male,0,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
10:15  -  10:29,60680735,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"8:45  -  8:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29"
9:15  -  9:29,60680735,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"8:45  -  8:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29"
8:45  -  8:59,60680735,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"8:45  -  8:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29"
9:45  -  9:59,60680735,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"8:45  -  8:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29"
9:30  -  9:44,60680735,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,19 – 24,"8:45  -  8:59,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:15  -  10:29"
14:45  -  14:59,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
12:45  -  12:59,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:30  -  14:44,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:15  -  15:29,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:00  -  15:14,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
13:00  -  13:14,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
12:30  -  12:44,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:30  -  15:44,60680736,Southern,Mazabuka,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
19:00  -  19:14,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,60748701,Southern,Mazabuka,Rural,Male,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"18:45  -  18:59,19:00  -  19:14"
10:15  -  10:29,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
10:30  -  10:44,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
9:00  -  9:14,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
14:30  -  14:44,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
13:30  -  13:44,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
10:00  -  10:14,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
11:30  -  11:44,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
13:45  -  13:59,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
12:00  -  12:14,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
12:15  -  12:29,60748703,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,"8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,13:30  -  13:44,13:45  -  13:59,14:15  -  14:29,14:30  -  14:44"
