Chimwemwe  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe  Yesterday
6:00  -  6:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:30  -  19:44,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:00  -  19:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
0:45  -  0:59,60640304,Copperbelt,Kitwe,Rural,Female,1,None,D,Some high school,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,45+,"5:00  -  5:14,0:45  -  0:59"
5:00  -  5:14,60640304,Copperbelt,Kitwe,Rural,Female,1,None,D,Some high school,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,45+,"5:00  -  5:14,0:45  -  0:59"
9:45  -  9:59,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
21:30  -  21:44,60672145,Copperbelt,Ndola,Rural,Male,1,None,C2,Some primary school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"21:00  -  21:14,21:30  -  21:44,21:45  -  21:59"
