Maria  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Maria  Monday
6:15  -  6:29,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:30  -  6:44,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
5:45  -  5:59,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:00  -  7:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:15  -  7:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
8:00  -  8:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:00  -  6:14,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:45  -  6:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:15  -  6:29,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:30  -  6:44,82033093,Eastern,Chipata,Rural,Male,1,None,C1,University completed,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
5:15  -  5:29,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44"
5:00  -  5:14,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44"
5:30  -  5:44,82033095,Eastern,Chipata,Rural,Female,0,None,C2,Completed high School,Other Christian,Other (specify),C2,Under K 849,No,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44"
9:00  -  9:14,82033096,Eastern,Chipata,Rural,Male,1,None,AB,Some university,Other Christian,Other (specify),AB,Refusal [Do not show],Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:00  -  8:14,82033096,Eastern,Chipata,Rural,Male,1,None,AB,Some university,Other Christian,Other (specify),AB,Refusal [Do not show],Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:15  -  8:29,82033096,Eastern,Chipata,Rural,Male,1,None,AB,Some university,Other Christian,Other (specify),AB,Refusal [Do not show],Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:30  -  8:44,82033096,Eastern,Chipata,Rural,Male,1,None,AB,Some university,Other Christian,Other (specify),AB,Refusal [Do not show],Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,82033096,Eastern,Chipata,Rural,Male,1,None,AB,Some university,Other Christian,Other (specify),AB,Refusal [Do not show],Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:15  -  9:29,82033096,Eastern,Chipata,Rural,Male,1,None,AB,Some university,Other Christian,Other (specify),AB,Refusal [Do not show],Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
