Maria  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Maria  Monday
19:45  -  19:59,82176616,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,A housewife/househusband,D,K 850-K 1674,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
15:30  -  15:44,82176616,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,A housewife/househusband,D,K 850-K 1674,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
7:15  -  7:29,82176617,Eastern,Chipata,Rural,Male,0,None,C2,Some high school,Other Christian,Student,C2,"K 2,500   -  K 3,154",No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:30  -  7:44,82176617,Eastern,Chipata,Rural,Male,0,None,C2,Some high school,Other Christian,Student,C2,"K 2,500   -  K 3,154",No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:00  -  7:14,82176617,Eastern,Chipata,Rural,Male,0,None,C2,Some high school,Other Christian,Student,C2,"K 2,500   -  K 3,154",No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
10:15  -  10:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:00  -  9:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
7:00  -  7:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
7:15  -  7:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
8:00  -  8:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
8:15  -  8:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
6:00  -  6:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
6:45  -  6:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
8:30  -  8:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
10:00  -  10:14,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
7:45  -  7:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
7:30  -  7:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:15  -  9:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
6:15  -  6:29,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
8:45  -  8:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
6:30  -  6:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:45  -  9:59,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:30  -  9:44,82176618,Eastern,Chipata,Rural,Male,1,Two or More,C1,Some high school,Other Christian,Self employed,C1,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
7:00  -  7:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:00  -  8:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
6:00  -  6:14,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
6:45  -  6:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:45  -  7:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:30  -  7:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
6:15  -  6:29,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
6:30  -  6:44,82210551,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
14:45  -  14:59,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:30  -  14:44,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:15  -  15:29,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:00  -  14:14,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:30  -  15:44,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:00  -  15:14,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:15  -  14:29,82210555,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
18:00  -  18:14,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,82213890,Eastern,Chipata,Urban,Male,0,None,C2,Some high school,Other Christian,Student,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
20:15  -  20:29,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,82213891,Eastern,Chipata,Urban,Male,1,None,C2,Primary school completed,Other Christian,Do odd jobs or piece work,C2,K 850-K 1674,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18:00  -  18:14,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:30  -  18:44,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:15  -  18:29,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:45  -  18:59,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,82213892,Eastern,Chipata,Rural,Female,0,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
7:00  -  7:14,82275791,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,19 – 24,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82275791,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,19 – 24,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,82275791,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,19 – 24,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,82275791,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,19 – 24,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,82275791,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,19 – 24,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
5:45  -  5:59,82275791,Eastern,Chipata,Rural,Female,1,None,D,Primary school completed,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,19 – 24,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
9:00  -  9:14,82275792,Eastern,Chipata,Rural,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:00  -  8:14,82275792,Eastern,Chipata,Rural,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,82275792,Eastern,Chipata,Rural,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,82275792,Eastern,Chipata,Rural,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,82275792,Eastern,Chipata,Rural,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
