Sun  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Sun  Yesterday
11:15  -  11:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:15  -  16:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:30  -  16:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:45  -  16:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
11:00  -  11:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
11:30  -  11:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
10:15  -  10:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
15:00  -  15:14,60575252,Copperbelt,Chilililabombwe,Urban,Male,3,Two or More,AB,Some university,Other Christian,Student,C1,"K 7,893 -  K 11,261",Yes,19 – 24,"15:00  -  15:14,17:00  -  17:14"
17:00  -  17:14,60575252,Copperbelt,Chilililabombwe,Urban,Male,3,Two or More,AB,Some university,Other Christian,Student,C1,"K 7,893 -  K 11,261",Yes,19 – 24,"15:00  -  15:14,17:00  -  17:14"
12:15  -  12:29,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"7:45  -  7:59,12:15  -  12:29"
7:45  -  7:59,60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34,"7:45  -  7:59,12:15  -  12:29"
6:15  -  6:29,60597809,Copperbelt,Chilililabombwe,Urban,Female,2,Two or More,AB,University completed,Other Christian,Housewife,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"6:15  -  6:29,12:00  -  12:14"
12:00  -  12:14,60597809,Copperbelt,Chilililabombwe,Urban,Female,2,Two or More,AB,University completed,Other Christian,Housewife,AB,"K 14,632 -  K 17,499",Yes,35 – 44,"6:15  -  6:29,12:00  -  12:14"
18:00  -  18:14,60598987,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,No Income,No Income,Yes,45+,"6:00  -  6:14,6:45  -  6:59,18:00  -  18:14"
6:00  -  6:14,60598987,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,No Income,No Income,Yes,45+,"6:00  -  6:14,6:45  -  6:59,18:00  -  18:14"
6:45  -  6:59,60598987,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,No Income,No Income,Yes,45+,"6:00  -  6:14,6:45  -  6:59,18:00  -  18:14"
21:00  -  21:14,60603893,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,No Income,No Income,Yes,45+,21:00  -  21:14
8:45  -  8:59,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:30  -  8:44,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:00  -  8:14,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:30  -  9:44,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:45  -  9:59,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:15  -  7:29,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:15  -  8:29,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:45  -  7:59,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:00  -  7:14,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:00  -  9:14,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:15  -  9:29,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:30  -  7:44,60608388,Copperbelt,Ndola,Urban,Female,2,One,C1,Some primary school,Other Christian,Student,Do not know,No Income,No,15 – 18,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
11:45  -  11:59,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
12:00  -  12:14,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:15  -  11:29,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:00  -  11:14,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:30  -  11:44,60608391,Copperbelt,Ndola,Urban,Male,0,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,"K 2,500   -  K 3,154",Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
7:30  -  7:44,60608396,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44"
7:15  -  7:29,60608396,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44"
13:30  -  13:44,60650161,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Don’t know (DON’T READ),Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,45+,13:30  -  13:44
6:45  -  6:59,60650162,Copperbelt,Chilililabombwe,Urban,Male,1,None,AB,Completed high School,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"6:15  -  6:29,6:45  -  6:59"
6:15  -  6:29,60650162,Copperbelt,Chilililabombwe,Urban,Male,1,None,AB,Completed high School,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"6:15  -  6:29,6:45  -  6:59"
5:45  -  5:59,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"5:45  -  5:59,13:45  -  13:59"
13:45  -  13:59,60650163,Copperbelt,Chilililabombwe,Urban,Female,1,One,C1,Completed high School,Others,Housewife,No Income,Do not know,Yes,25 – 34,"5:45  -  5:59,13:45  -  13:59"
8:45  -  8:59,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,8:45  -  8:59"
7:00  -  7:14,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"7:00  -  7:14,8:45  -  8:59"
21:00  -  21:14,60677627,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Completed high School,Roman Catholic,Housewife,Do not know,Do not know,No,25 – 34,"21:00  -  21:14,23:15  -  23:29"
23:15  -  23:29,60677627,Copperbelt,Chilililabombwe,Rural,Female,2,None,C1,Completed high School,Roman Catholic,Housewife,Do not know,Do not know,No,25 – 34,"21:00  -  21:14,23:15  -  23:29"
21:00  -  21:14,60677629,Copperbelt,Chilililabombwe,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"21:00  -  21:14,22:00  -  22:14"
22:00  -  22:14,60677629,Copperbelt,Chilililabombwe,Rural,Male,1,None,C2,Primary school completed,Other Christian,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"21:00  -  21:14,22:00  -  22:14"
21:00  -  21:14,60677630,Copperbelt,Chilililabombwe,Rural,Female,2,None,C2,Primary school completed,Others,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:45  -  21:59"
21:45  -  21:59,60677630,Copperbelt,Chilililabombwe,Rural,Female,2,None,C2,Primary school completed,Others,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:45  -  21:59"
6:45  -  6:59,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,"6:45  -  6:59,9:15  -  9:29"
9:15  -  9:29,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,"6:45  -  6:59,9:15  -  9:29"
10:45  -  10:59,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:00  -  10:14,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:30  -  8:44,60722384,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Completed high School,Other Christian,Self employed,No Income,No Income,Yes,45+,"8:15  -  8:29,8:30  -  8:44"
8:15  -  8:29,60722384,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Completed high School,Other Christian,Self employed,No Income,No Income,Yes,45+,"8:15  -  8:29,8:30  -  8:44"
21:45  -  21:59,60722386,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,35 – 44,"9:00  -  9:14,21:45  -  21:59,23:00  -  23:14"
23:00  -  23:14,60722386,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,35 – 44,"9:00  -  9:14,21:45  -  21:59,23:00  -  23:14"
9:00  -  9:14,60722386,Copperbelt,Chilililabombwe,Rural,Female,1,None,C1,Primary school completed,Other Christian,Housewife,No Income,No Income,Yes,35 – 44,"9:00  -  9:14,21:45  -  21:59,23:00  -  23:14"
6:15  -  6:29,60745321,Copperbelt,Chilililabombwe,Rural,Male,1,None,C1,Completed high School,Others,Self employed,No Income,No Income,No,35 – 44,"6:15  -  6:29,13:00  -  13:14,18:15  -  18:29"
18:15  -  18:29,60745321,Copperbelt,Chilililabombwe,Rural,Male,1,None,C1,Completed high School,Others,Self employed,No Income,No Income,No,35 – 44,"6:15  -  6:29,13:00  -  13:14,18:15  -  18:29"
13:00  -  13:14,60745321,Copperbelt,Chilililabombwe,Rural,Male,1,None,C1,Completed high School,Others,Self employed,No Income,No Income,No,35 – 44,"6:15  -  6:29,13:00  -  13:14,18:15  -  18:29"
21:00  -  21:14,60749750,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,22:00  -  22:14"
22:00  -  22:14,60749750,Copperbelt,Chilililabombwe,Rural,Male,2,None,C2,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"21:00  -  21:14,22:00  -  22:14"
20:45  -  20:59,60826856,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"19:00  -  19:14,20:45  -  20:59"
19:00  -  19:14,60826856,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"19:00  -  19:14,20:45  -  20:59"
