BBC  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC  Monday
11:00  -  11:14,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:45  -  10:59,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:30  -  10:44,60685770,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:30  -  10:44,60712007,Copperbelt,Mufulira,Urban,Male,1,None,C1,Don’t know (DON’T READ),Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60712007,Copperbelt,Mufulira,Urban,Male,1,None,C1,Don’t know (DON’T READ),Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:00  -  10:14,60712007,Copperbelt,Mufulira,Urban,Male,1,None,C1,Don’t know (DON’T READ),Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60712007,Copperbelt,Mufulira,Urban,Male,1,None,C1,Don’t know (DON’T READ),Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
17:00  -  17:14,60726253,Lusaka,Kafue,Rural,Male,1,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"17:00  -  17:14,22:00  -  22:14"
22:00  -  22:14,60726253,Lusaka,Kafue,Rural,Male,1,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"17:00  -  17:14,22:00  -  22:14"
22:30  -  22:44,60748707,Southern,Mazabuka,Rural,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
