Rise analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rise
16:30  -  16:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,",,,,,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
11:00  -  11:14,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:30  -  9:44,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
8:45  -  8:59,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
7:15  -  7:29,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:45  -  9:59,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
7:45  -  7:59,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
8:15  -  8:29,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
7:30  -  7:44,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:00  -  10:14,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
7:00  -  7:14,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:15  -  9:29,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:15  -  10:29,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
8:00  -  8:14,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:30  -  10:44,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:45  -  10:59,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:00  -  9:14,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
8:30  -  8:44,60602793,Copperbelt,Chingola,Rural,Female,2,None,C2,Some high school,Other Christian,Student,Do not know,Under K 849,Yes,15 – 18,",,,,,,,,,,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
19:30  -  19:44,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,",,,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,"
20:00  -  20:14,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,",,,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,"
19:45  -  19:59,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,",,,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,"
19:00  -  19:14,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,",,,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,"
19:15  -  19:29,60607037,Copperbelt,Chingola,Rural,Female,0,None,D,Some primary school,Roman Catholic,Housewife,D,Under K 849,No,19 – 24,",,,,,,,,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,,,,"
11:00  -  11:14,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:30  -  9:44,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
8:45  -  8:59,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:45  -  9:59,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
12:00  -  12:14,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
8:15  -  8:29,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:00  -  10:14,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:15  -  11:29,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",,,,,,,,,,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
