Feel Free  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Feel Free  Friday
7:30  -  7:44,82117684,Eastern,Chipata,Rural,Female,1,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:15  -  6:29,82117684,Eastern,Chipata,Rural,Female,1,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:30  -  6:44,82117684,Eastern,Chipata,Rural,Female,1,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
22:15  -  22:29,82117685,Eastern,Chipata,Rural,Male,1,None,D,Some primary school,Other Christian,A subsistence farmer/fisherman,D,Do not know,Yes,35 – 44,",22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,82117685,Eastern,Chipata,Rural,Male,1,None,D,Some primary school,Other Christian,A subsistence farmer/fisherman,D,Do not know,Yes,35 – 44,",22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:30  -  22:44,82117685,Eastern,Chipata,Rural,Male,1,None,D,Some primary school,Other Christian,A subsistence farmer/fisherman,D,Do not know,Yes,35 – 44,",22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:30  -  23:44,82117685,Eastern,Chipata,Rural,Male,1,None,D,Some primary school,Other Christian,A subsistence farmer/fisherman,D,Do not know,Yes,35 – 44,",22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,82117685,Eastern,Chipata,Rural,Male,1,None,D,Some primary school,Other Christian,A subsistence farmer/fisherman,D,Do not know,Yes,35 – 44,",22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,82117685,Eastern,Chipata,Rural,Male,1,None,D,Some primary school,Other Christian,A subsistence farmer/fisherman,D,Do not know,Yes,35 – 44,",22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,82117685,Eastern,Chipata,Rural,Male,1,None,D,Some primary school,Other Christian,A subsistence farmer/fisherman,D,Do not know,Yes,35 – 44,",22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
