Mungu  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mungu  Wednesday
7:00  -  7:14,134930644,Western,Mongu,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:30  -  6:44,134930644,Western,Mongu,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:15  -  18:29,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:00  -  18:14,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:45  -  16:59,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:00  -  16:14,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:15  -  17:29,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:30  -  18:44,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:00  -  20:14,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:00  -  17:14,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:45  -  17:59,134930645,Western,Mongu,Rural,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,45+,"16:00  -  16:14,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
