Yar analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yar
7:30  -  7:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
7:00  -  7:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
8:00  -  8:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
9:00  -  9:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
8:30  -  8:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,,,,,,"
15:45  -  15:59,60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,",,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
15:15  -  15:29,60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,",,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
15:30  -  15:44,60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,",,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
15:00  -  15:14,60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,",,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,,,,"
5:00  -  5:14,60583044,Copperbelt,Kitwe,Urban,Male,3,One,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 17,500   - K  21,370",Yes,25 – 34,"5:00  -  5:14,,,,,,,"
17:00  -  17:14,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:15  -  5:29,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:30  -  5:44,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:00  -  5:14,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
17:30  -  17:44,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
17:45  -  17:59,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:45  -  5:59,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
17:15  -  17:29,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,,,,,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
7:00  -  7:14,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,",,,,7:00  -  7:14,,,"
12:45  -  12:59,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,"12:45  -  12:59,,,,,,,"
8:15  -  8:29,60602802,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 7,893 -  K 11,261",Yes,25 – 34,"6:45  -  6:59,8:15  -  8:29,,,,,,,"
6:45  -  6:59,60602802,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 7,893 -  K 11,261",Yes,25 – 34,"6:45  -  6:59,8:15  -  8:29,,,,,,,"
9:30  -  9:44,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
