Chimwemwe  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe  Sunday
6:45  -  6:59,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,82091969,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:30  -  6:44,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,82094391,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
12:00  -  12:14,82105049,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C2,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,13:15  -  13:29"
