,E! Entertainment  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Friday
54,18:15  -  18:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
55,18:30  -  18:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
56,19:45  -  19:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
57,17:15  -  17:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
58,20:30  -  20:44,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
59,19:00  -  19:14,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
60,19:15  -  19:29,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
61,19:30  -  19:44,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
62,20:00  -  20:14,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
63,20:45  -  20:59,60618176,Eastern,Chipata,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
