,Fox Movies  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox Movies  Friday
20,16:30  -  16:44,135084804,Muchinga,Chinsali,Urban,Male,1,,C2,Primary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,45+,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
21,16:15  -  16:29,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
22,17:00  -  17:14,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
23,6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
24,16:45  -  16:59,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
25,16:30  -  16:44,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
26,16:15  -  16:29,135033639,Western,Kalabo,Rural,Female,0,,DE,Tertiary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
27,17:00  -  17:14,135033639,Western,Kalabo,Rural,Female,0,,DE,Tertiary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
28,6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,135033639,Western,Kalabo,Rural,Female,0,,DE,Tertiary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
29,16:45  -  16:59,135033639,Western,Kalabo,Rural,Female,0,,DE,Tertiary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                              6:00  -  6:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
