,Disney Channel  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney Channel  Yesterday
22,6:15  -  6:29,60579212,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44"
23,6:30  -  6:44,60579212,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44"
24,12:00  -  12:14,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
25,6:00  -  6:14,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
26,13:00  -  13:14,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
27,12:30  -  12:44,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
28,11:15  -  11:29,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
29,7:30  -  7:44,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
30,11:30  -  11:44,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
31,7:00  -  7:14,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
32,12:45  -  12:59,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
33,11:00  -  11:14,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
34,8:00  -  8:14,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
35,6:15  -  6:29,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
36,6:30  -  6:44,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
37,7:45  -  7:59,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
38,11:45  -  11:59,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
39,6:45  -  6:59,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
40,8:15  -  8:29,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
41,12:15  -  12:29,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
42,7:15  -  7:29,60600876,Copperbelt,Kalulushi,Urban,Female,1,One,C1,Some high school,Roman Catholic,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
43,16:00  -  16:14,60618128,Copperbelt,Chilililabombwe,Urban,Female,2,None,C1,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
44,15:00  -  15:14,60618128,Copperbelt,Chilililabombwe,Urban,Female,2,None,C1,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
45,15:45  -  15:59,60618128,Copperbelt,Chilililabombwe,Urban,Female,2,None,C1,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
46,15:30  -  15:44,60618128,Copperbelt,Chilililabombwe,Urban,Female,2,None,C1,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
47,15:15  -  15:29,60618128,Copperbelt,Chilililabombwe,Urban,Female,2,None,C1,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
48,9:30  -  9:44,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
49,6:00  -  6:14,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
50,11:15  -  11:29,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
51,7:30  -  7:44,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
52,11:30  -  11:44,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
53,7:00  -  7:14,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
54,11:00  -  11:14,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
55,8:00  -  8:14,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
56,6:15  -  6:29,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
57,6:30  -  6:44,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
58,7:45  -  7:59,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
59,6:45  -  6:59,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
60,8:45  -  8:59,60631638,Copperbelt,Kalulushi,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Self employed,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
