,AMC Series  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,AMC Series  Sunday
41,8:00  -  8:14,135149818,Luapula,Samfya,Urban,Female,1,,DE,Primary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
42,7:15  -  7:29,135149818,Luapula,Samfya,Urban,Female,1,,DE,Primary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
43,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,135149818,Luapula,Samfya,Urban,Female,1,,DE,Primary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
44,7:30  -  7:44,135149818,Luapula,Samfya,Urban,Female,1,,DE,Primary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
45,7:45  -  7:59,135149818,Luapula,Samfya,Urban,Female,1,,DE,Primary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
46,8:00  -  8:14,135121826,Muchinga,Chinsali,Urban,Male,1,,DE,Secondary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
47,7:15  -  7:29,135121826,Muchinga,Chinsali,Urban,Male,1,,DE,Secondary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
48,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44,135121826,Muchinga,Chinsali,Urban,Male,1,,DE,Secondary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
49,7:30  -  7:44,135121826,Muchinga,Chinsali,Urban,Male,1,,DE,Secondary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
50,7:45  -  7:59,135121826,Muchinga,Chinsali,Urban,Male,1,,DE,Secondary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,1:30  -  1:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           15:30  -  15:44                                                                                                                                                                                                    "
