,E! Entertainment  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Saturday
34,17:15  -  17:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
35,16:00  -  16:14,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
36,16:15  -  16:29,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
37,17:45  -  17:59,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
38,17:00  -  17:14,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
39,17:30  -  17:44,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
40,18:00  -  18:14,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
41,15:45  -  15:59,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
42,16:45  -  16:59,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
43,15:30  -  15:44,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
