,Discovery Family  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Family  Thursday
30,8:30  -  8:44,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
31,15:45  -  15:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
32,8:15  -  8:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
33,19:45  -  19:59                                                                   5:45  -  5:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
34,6:45  -  6:59               8:00  -  8:14,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
35,9:00  -  9:14                                  8:30  -  8:44,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
36,6:15  -  6:29,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
37,6:30  -  6:44,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
38,15:30  -  15:44,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
39,8:45  -  8:59,134846137,Northern,Kasama,Urban,Male,2,,C2,Tertiary,Christian,Not employed,C2,"K 3,155   -  K 3,890",,19 – 24,"                                                                                                                         15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                   5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59               8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14                                  8:30  -  8:44,9:15  -  9:29                                                                                                                                                                                                                            "
