,Discovery Channel  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Saturday
41,18:15  -  18:29,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
42,20:00  -  20:14,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
43,20:45  -  20:59,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
44,18:30  -  18:44,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
45,19:45  -  19:59,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
46,20:15  -  20:29,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
47,13:45  -  13:59,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                                      20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                       13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
48,17:00  -  17:14,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                                      20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                       13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
49,19:15  -  19:29,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                                      20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                       13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
50,15:45  -  15:59,135086449,Northern,Kasama,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,45+,"                                                                                                                                                                                                                                      20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                       13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
