,Disney Channel  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney Channel  Saturday
35,15:30  -  15:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
36,17:15  -  17:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
37,16:30  -  16:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
38,15:15  -  15:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
39,9:30  -  9:44,82285814,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"9:00  -  9:14,9:30  -  9:44"
40,9:00  -  9:14,82285814,Southern,Livingstone,Urban,Female,0,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,Yes,25 – 34,"9:00  -  9:14,9:30  -  9:44"
41,8:30  -  8:44,82286032,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,8:30  -  8:44
42,12:00  -  12:14,60530176,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Some high school,Anglican/Protestant,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
43,11:15  -  11:29,60530176,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Some high school,Anglican/Protestant,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
44,10:45  -  10:59,60530176,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Some high school,Anglican/Protestant,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
