,Discovery Channel  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Thursday
119,20:15  -  20:29,134876980,Luapula,Mansa,Rural,Male,2,,DE,Secondary,Christian,Employed for cash,D,K 850-K 1674,,35 – 44,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
120,19:15  -  19:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
121,18:45  -  18:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
122,10:15  -  10:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
123,18:15  -  18:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
124,19:45  -  19:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
125,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
126,10:30  -  10:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
127,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
128,17:00  -  17:14  21:30  -  21:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
129,19:00  -  19:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
130,16:45  -  16:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
131,16:15  -  16:29,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
132,19:30  -  19:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
133,20:45  -  20:59,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
134,18:30  -  18:44                                                                                                                                16:00  -  16:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
135,20:30  -  20:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
136,21:00  -  21:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
137,20:00  -  20:14,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
138,18:30  -  18:44,134876927,Central,Mkushi,Rural,Female,0,,DE,Secondary,Christian,Not employed,,Do not know,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                18:15  -  18:29,18:30  -  18:44                                                                                                                                16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14  21:30  -  21:44,21:45  -  21:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                        20:30  -  20:44       10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59               11:45  -  11:59                                                                                                                                                      18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                       "
