,Hope Channel  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Wednesday
29,19:00  -  19:14,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
30,17:00  -  17:14,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
31,17:30  -  17:44,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
32,18:00  -  18:14,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
33,19:15  -  19:29,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
34,18:45  -  18:59,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
35,19:30  -  19:44,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
36,18:15  -  18:29,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
37,16:45  -  16:59,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
38,17:15  -  17:29,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
