SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60845879,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"None,","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",New Generation,"FCC Solwezi,New Generation","FCC Solwezi,New Generation","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60845880,"FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"Beats,","FCC Solwezi,Kabangabanga,New Generation,Radio Christian Voice,",New Generation,"FCC Solwezi,New Generation","FCC Solwezi,New Generation","FCC Solwezi,Kabangabanga,New Generation,Radio Christian Voice"
60845883,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"BBC,","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,"Beats,FCC Solwezi,New Generation","Beats,FCC Solwezi,New Generation","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60848520,"Icengelo,Iwave,Kokoliko,Phoenix,Rise FM,Sun,", ,"Q FM,Radio 1,","Icengelo,Iwave,Kokoliko,Phoenix,Q FM,Radio 1,Rise FM,Sun,",None,"Iwave,Kokoliko","Iwave,Kokoliko,Rise FM","Icengelo,Iwave,Kokoliko,Phoenix,Q FM,Radio 1,Rise FM,Sun"
60848521,"Kokoliko,", ,"Icengelo,Iwave,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,","Icengelo,Iwave,Kokoliko,Radio 2,Rise FM",None,None,None,"Icengelo,Iwave,Kokoliko,Radio 2,Rise FM"
60848522,"Icengelo,Rise FM,", ,"BBC,Chimwemwe,Iwave,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,Yar,","Icengelo,Iwave,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM",Icengelo,"Icengelo,Phoenix,Rise FM","Icengelo,Phoenix,Rise FM","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM"
60848523,"Icengelo,Iwave,Kokoliko,", ,"Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rise FM,","Icengelo,Iwave,Kokoliko,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rise FM",Kokoliko,"Icengelo,Kokoliko","Icengelo,Kokoliko","Icengelo,Iwave,Kokoliko,Radio 1,Rise FM"
60848524,"Icengelo,Rise FM,", ,"Chimwemwe,Iwave,Kokoliko,Phoenix,Radio 1,","Chimwemwe,Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Rise FM",None,"Iwave,Kokoliko","Icengelo,Iwave,Radio 1,Rise FM","Chimwemwe,Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Rise FM"
60848525,"Icengelo,Iwave,Kokoliko,", ,"Radio 1,Radio 2,Radio 4,Rise FM,","Icengelo,Iwave,Kokoliko,Radio 1,Radio 2,Radio 4,Rise FM",None,Icengelo,"Icengelo,Iwave,Rise FM","Icengelo,Iwave,Kokoliko,Rise FM"
60848526,"Icengelo,Rise FM,", ,"BBC,Chimwemwe,Flava FM,Iwave,Kokoliko,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","BBC,Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Rise FM",Rise FM,"Icengelo,Rise FM","Icengelo,Kokoliko,Rise FM","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Rise FM"
60848822,"Baptist Faith,Chimwemwe,Jive,Kokoliko,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,", ,"Icengelo,","Icengelo,Phoenix,",Phoenix,Phoenix,Phoenix,Phoenix
60848996,"Kokoliko,", ,"BBC,Chimwemwe,Flava FM,Icengelo,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","Kokoliko,Parliament,Radio Christian Voice,Radio 1,",None,Radio Christian Voice,"Kokoliko,Radio Christian Voice","Kokoliko,Parliament,Radio Christian Voice,Radio 1"
60848997,"Yar,", ,"BBC,Chimwemwe,Flava FM,Icengelo,Kokoliko,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,","BBC,Chimwemwe,Flava FM,Icengelo,Radio Christian Voice,Yar,",None,None,None,Icengelo
60849608,"Icengelo,Radio 4,Radio Christian Voice,Sun,", ,"Chimwemwe,Radio 1,Radio 2,","Icengelo,Radio Christian Voice,",None,None,None,"Icengelo,Radio Christian Voice"
60849609,"Chimwemwe,Phoenix,Sun,", ,"Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Chimwemwe,Sun,",Sat,"Chimwemwe,Sun","Chimwemwe,Sun","Chimwemwe,Sun"
60861539,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio Christian Voice,",None,None,"Lutanda,Kwithu FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60861540,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Radio 2,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1",None,Radio Mano,"Radio Mano,Radio 1","Lutanda,Kwithu FM,Nothern FM,Radio 1"
60861541,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,"Lutanda,Kwithu FM,Radio Mano","Lutanda,Kwithu FM,Radio Mano","Lutanda,Kwithu FM,Radio Mano,Nothern FM"
60861542,"BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"None,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",Nothern FM,"Radio Mano,Nothern FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60861543,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2,Radio Christian Voice,",None,None,None,None
