SbjNum,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Large Billboards(pic of Super Sign),Internally illuminated sign (pic of Citilite),Building wrap/construction site wrap,On sides of vehicles,Billboards at airports,(Inside & Outside),Inside buses,Outside of buses,On bus shelters,Street Pole adverts,Street Furniture-Roadstars,Dustbins/Litterbins,Inside a store/ shop,Suburban signs,Inside trains,On shopping trolleys,Neon sign,Digital Billboard,Billboards make the environment look colourful,I trust a brand/product that is advertised on a billboard,I’m more likely to buy a brand/product that is advertised on a billboard,I find brand/product information on a billboard useful,Billboards too close to each other make the environment look cluttered or messy,I remember the billboard adverts when I see the product/brand on the shelf in a store
60515241,Yesterday,Past 7 Days,Past 7 Days,Longer Ago,Longer Ago,Longer Ago,Past 7 Days,Longer Ago,Longer Ago,Longer Ago,Not seen,Not seen,Not seen,Not seen,Longer Ago,Past 3 months,Longer Ago,Longer Ago,Zamtel,airtel,chinan,boom,mtn,boom,Colgate,can't remember,detto,can't remember,,,,,can't remember,shoprite,can't remember,dstv,Agree,Disagree,Agree,Agree,Agree,Strongly Disagree
60515242,Past 7 Days,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,can't remember,can't remember,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree
60515243,Past 7 Days,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,trade kings,,cant remember,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Disagree
60515244,Past 7 Days,Past 7 Days,Past 7 Days,Past 4 Weeks,Not seen,Not seen,Not seen,Not seen,Not seen,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,seedco,can't remember,can't remember,mapranga agencies,,,,,,can't remember,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Disagree
60515245,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,boom detergent paste,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Disagree
60515246,Yesterday,Past 7 Days,Yesterday,Past 3 months,Not seen,Not seen,Past 3 months,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,fnb,airtel,can't remember,can't remember,,,can't remember,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Disagree
60515247,Yesterday,Longer Ago,Longer Ago,Past 3 months,Longer Ago,Longer Ago,Past 3 months,Longer Ago,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Not seen,Past 4 Weeks,Not seen,Longer Ago,agri chemicals,coca cola,can't remember,mtn,Kenyan airways,protex,mazhandu,boom,,,,,,,,shoprite,,Samsung,Agree,Agree,Agree,Agree,Agree,Disagree
60515248,Yesterday,Past 7 Days,Past 7 Days,Not seen,Not seen,Not seen,Not seen,Past 3 months,Past 7 Days,Past 7 Days,Past 7 Days,Not seen,Not seen,Past 7 Days,Not seen,Past 7 Days,Not seen,Yesterday,seedco,can't remember much,can't remember,,,,,boom,safelight,larfarge,furncity,,,can't remember,,choppies,,znbc,Agree,Disagree,Agree,Agree,Agree,Disagree
60515348,Yesterday,Past 4 Weeks,Yesterday,Past 7 Days,Not seen,Longer Ago,Not seen,Yesterday,Yesterday,Yesterday,Not seen,Yesterday,Yesterday,Past 7 Days,Not seen,Past 3 months,Yesterday,Yesterday,Sun Share,none,larfage,Boom,,MTN,,Top star,Go Tv,Go Tv,,MTN, one,none,,none,Radisson blue,can't remember,Agree,Agree,Agree,Agree,Disagree,Agree
60515349,Yesterday,Not seen,Past 7 Days,Past 7 Days,Not seen,Not seen,Not seen,Yesterday,Yesterday,Not seen,Not seen,Yesterday,Yesterday,Not seen,Not seen,Not seen,Not seen,Past 3 months,Pepsi,,lafarge,Bullet/Boom,,,,Bullet/Boom,GoTv,,,MTN,Airtel,,,,,cant recall,Agree,Agree,Agree,Agree,Agree,Agree
