SbjNum,Bank Ever used,Other Banks Ever used,Banks Currently Used,Bank Most Often Used,AB Bank Zambia Limited,Access Bank Zambia Limited,BancABC Zambia Limited,Bank of China (Zambia) Limited,Barclays Bank Zambia Plc,Cavmont Bank,Citibank Zambia Limited,Ecobank Zambia Limited,Finance Bank Zambia Limited,First Alliance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Indo-Zambia Bank Limited,Intermarket Bank,International Commercial Bank,Investrust Bank Plc,Stanbic Bank Zambia Limited,Standard Chartered Bank Zambia Plc,United Bank for Africa Zambia Limited,ZANACO (Zambia National Commercial Bank Plc),Bank of Zambia,{0},None
60567105,"Stanbic Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)", ,"Stanbic Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)","Stanbic Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)",,,,,,,,,,,,,,,,Satisfied,,,Satisfied,,,
60567106,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60567107,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60567108,"Stanbic Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)", ,"Stanbic Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)","Stanbic Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)",,,,,,,,,,,,,,,,Satisfied,,,Satisfied,,,
60567437,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Neither satisfied or dissatisfied,,,
60567438,"Investrust Bank Plc,ZANACO (Zambia National Commercial Bank Plc)", ,"Investrust Bank Plc,ZANACO (Zambia National Commercial Bank Plc)","Investrust Bank Plc,ZANACO (Zambia National Commercial Bank Plc)",,,,,,,,,,,,,,,Satisfied,,,,Satisfied,,,
60567439,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60567440,"Access Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)", ,"Access Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)","Access Bank Zambia Limited,ZANACO (Zambia National Commercial Bank Plc)",,Satisfied,,,,,,,,,,,,,,,,,Dissatisfied,,,
60567441,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60567442,None, ,,,,,,,,,,,,,,,,,,,,,,,,
