,SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
655,60634423,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,BBC World News,Bollywood,Discovery IDX,Emmanuel TV,Fox Crime,MTV Base,Mzansi,Novela E1,Parliament TV,Prime Television,Star Chinese 2,Star KungFu 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1",Prime Television,Prime Television,Prime Television,Prime Television,Prime Television
656,60634971,"1 Music,Africa Unite,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,Baby TV,Bostv,Cartoon network,CBS TV,Channel O,Discovery Family,Discovery Science,Disney Channel,Emmanuel TV,Fox Entertainment,Fox Movies,M-Net Edge,M-Net Movies Action,Muvi TV,Prime Television,Zee Cinema,Zuku Movies Family,Zuku Movies Max,Zuku Nolly,Zuku Novella","African Magic, Zambezi Magic,B4U Movies,Disney Channel,Muvi TV,Zuku Novella",B4U Movies,"B4U Movies,Zuku Novella","B4U Movies,Zuku Novella","B4U Movies,Zuku Novella"
657,60635334,"ABN TB,Africa Unite,Baby TV,CBC TV,CNN,E Africa,Hope Channel,Hossana Tv,Inspiration TV,Jim Jam,M-Net,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Family,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,MTV,Nick Jr,Nickelodeon,One Gospel,Parliament TV,Peace TV,Press Tv,Prism Africa,QTV Zambia,SuperSport,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 7,SuperSport 9,TBN,Telemundo,Zee World","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Baby TV,BBC World News,CBC TV,CNN,E Africa,Emmanuel TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,Hope Channel,Hossana Tv,Inspiration TV,Jim Jam,M-Net,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Family,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,MTV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,One Gospel,Parliament TV,Peace TV,Press Tv,Prime Television,Prism Africa,Q TV,QTV Zambia,SuperSport,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 7,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","Hope Channel,Jim Jam,Prime Television,ZNBC TV1,Diamond","Hope Channel,Jim Jam,Prime Television,ZNBC TV 1,Diamond TV","Africa Unite,E Africa,Emmanuel TV,Hope Channel,Jim Jam,Prime Television,Q TV,ZNBC TV1,Diamond","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Baby TV,BBC World News,CBC TV,CNN,E Africa,Emmanuel TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,Hope Channel,Hossana Tv,Inspiration TV,Jim Jam,M-Net,M-Net Edge,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Family,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,MTV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,One Gospel,Parliament TV,Peace TV,Prime Television,Prism Africa,Q TV,QTV Zambia,SuperSport,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 7,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
658,60635406,Disney Channel,"Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select",SuperSport 9,"Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select","Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select","Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select"
659,60635488,"Al Jazeera,Animal Planet,B4U Movies,Bakadoli,BBC Brit,BBC Earth,BBC World News,BET,BET International,Bollywood,Cartoon network,CBC TV,CNN,Discovery Family,Discovery IDX,Disney Channel,E Africa,E! Entertainment,Ebony Life TV,Emmanuel TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Jim Jam,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,E Africa,E! Entertainment,Emmanuel TV,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1",ZNBC TV2,ZNBC TV 2,"African Magic, Zambezi Magic,Emmanuel TV,Zee World,ZNBC TV2","African Magic, Zambezi Magic,BBC World News,E Africa,E! Entertainment,Emmanuel TV,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
660,60635490,"SuperSport 4,SuperSport 7,SuperSport 8,SuperSport 9,TBN,Telemundo","African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Nat Geo Wild,One Gospel,SuperSport 4,SuperSport 7,SuperSport 8,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,One Gospel,ZNBC TV1","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,One Gospel,ZNBC TV 1","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,One Gospel,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Nat Geo Wild,One Gospel,SuperSport 4,SuperSport 7,SuperSport 8,SuperSport 9,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
661,60635491,"African Magic, Zambezi Magic,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,Emmanuel TV,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,ZNBC TV1","African Magic, Zambezi Magic,SuperSport 1,SuperSport 2","African Magic, Zambezi Magic,BBC World News,Emmanuel TV,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,Emmanuel TV,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
662,60635719,"BET,Fox Movies +2",Food Network,Food Network,Food Network,Food Network,Food Network
663,60635720,,,,nan,,
664,60635721,"Africa Unite,Al Jazeera,B4U Movies,Cartoon network","E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Zee World",SuperSport 1,SuperSport 2,"E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Zee World","E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Zee World"
665,60635795,"Amnet,E Africa,E! Entertainment","Al Jazeera,Amnet,BBC World News,CNN,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9","BBC World News,CNN,SuperSport 1","Amnet,Prime Television","Al Jazeera,Amnet,BBC World News,CNN,SuperSport 9","BBC World News,SuperSport 9"
666,60636154,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Disney Channel,Disney XD,E! Entertainment,Emmanuel TV,Jim Jam,MTV Base,Mzansi,National Geographic Channel","African Magic, Zambezi Magic,Al Jazeera,E! Entertainment,Emmanuel TV,MTV Base,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,","Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,","African Magic, Zambezi Magic,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV 2,ZNBC TV 1","African Magic, Zambezi Magic,Al Jazeera,E! Entertainment,Emmanuel TV,MTV Base,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,","African Magic, Zambezi Magic,Al Jazeera,E! Entertainment,Emmanuel TV,MTV Base,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,"
667,60636187,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World",Zee World,Zee World,Zee World,Zee World
668,60636425,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Animal Planet,Baby TV,Bollywood,CBC TV,Discovery Channel,E Africa,Emmanuel TV,E-Stars,Fox,Jim Jam,Nat Geo Gold,QTV Zambia","Baby TV,Jim Jam",Jim Jam,"Baby TV,Jim Jam","Baby TV,Jim Jam","Baby TV,Jim Jam"
669,60636972,,,,nan,,
670,60637378,"Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World"
671,60637568,"African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
672,60637863,"Africa Unite,Al Jazeera,Amnet,Animal Planet,B4U Movies,BET,Cartoon network,Channel O,Disney XD,Football Tv,Fox Sports 2,Iroko Play-African Movies,ITV Choice,Jim Jam,Muvi Novela,Novela E1,One Gospel,SABC,Sky News,Sony Entertainment,Star Bollywood,Star Chinese 2,STN,STV Guide,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,Telemundo,Times TV,Trace Gospel,Trace Sports Stars,Trace Urban,Travel Channel,True Movies 1,TVC News,UBC,Viasat Crime,Viasat History,Vuzu,World Football,Zee Cinema,Zee World,Zing,ZNBC TV3,Zodiak TV,Zuku Movies Action,Zuku Sports,Zuku Zone","Al Jazeera,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 8,Zee World",SuperSport 2,"Al Jazeera,SuperSport 2","Al Jazeera,SuperSport 2,SuperSport 4","Al Jazeera,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 8,Zee World"
673,60638604,Prime Television,"1 Music,African Magic, Zambezi Magic,BBC World News,Prime Television,Telemundo,Zee World,ZNBC TV2","African Magic, Zambezi Magic,Zee World,ZNBC TV2","African Magic, Zambezi Magic,Telemundo,Zee World","African Magic, Zambezi Magic,Prime Television","1 Music,African Magic, Zambezi Magic,BBC World News,Prime Television,Telemundo,Zee World,ZNBC TV2"
674,60638856,Startimes Sports 2,"SuperSport 3,SuperSport 9,Supersport Blitz",Supersport Blitz,"SuperSport 3,SuperSport 9,Supersport Blitz","SuperSport 3,SuperSport 9,Supersport Blitz","SuperSport 3,SuperSport 9,Supersport Blitz"
675,60639043,Diamond,ZNBC TV2,ZNBC TV2,ZNBC TV 2,ZNBC TV2,ZNBC TV2
676,60639044,"Jim Jam,SuperSport Select","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
677,60639045,1 Music,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
678,60639046,"Fox,Zee World",Bollywood,Bollywood,Bollywood,Bollywood,Bollywood
679,60639047,Al Jazeera,"African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic"
680,60639283,"African Movie Channel (AMC),Chipata,E! Entertainment,Mzansi,Nickelodeon,SuperSport 3,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Emmanuel TV,National Geographic Channel,SuperSport 3,Zee World","Emmanuel TV,SuperSport 3,Telemundo,Zee World","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
681,60639386,"African Magic, Zambezi Magic,Don't know","African Magic, Zambezi Magic,African Movie Channel (AMC),Emmanuel TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1",Zee World,"African Magic, Zambezi Magic,Emmanuel TV,Zee World,ZNBC TV 2,ZNBC TV 3,ZNBC TV 1","African Magic, Zambezi Magic,Emmanuel TV,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Emmanuel TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
682,60639916,"Al Jazeera,AMC Series,B4U Movies,BBC World News,Bollywood,E Africa,EA TV,Emmanuel TV,Family TV,Fashion One,Fox,Muvi TV,My TV,Parliament TV,POP,QTV Zambia,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,TBC 1,TBN,Trace Gospel","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,Trace Gospel,Zee World","African Magic, Zambezi Magic,Emmanuel TV","African Magic, Zambezi Magic,Emmanuel TV","African Magic, Zambezi Magic,Emmanuel TV,Zee World","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,Trace Gospel,Zee World"
683,60640299,,,,nan,,
684,60640300,,,,nan,,
685,60640302,,,,nan,,
686,60640303,,,,nan,,
687,60640304,,,,nan,,
688,60640305,,,,nan,,
689,60640632,"BBC World News,Channel O,Disney XD,E! Entertainment,Emmanuel TV,M-Net Movies Zone,MTV Base,QTV Zambia","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,Nickelodeon,QTV Zambia,SuperSport 3,Telemundo,Zee World,Diamond,","African Magic, Zambezi Magic,Emmanuel TV,Nickelodeon,SuperSport 3,Telemundo,Zee World,","African Magic, Zambezi Magic,E! Entertainment,Emmanuel TV,SuperSport 3,Telemundo,Zee World,Diamond TV,","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,Nickelodeon,QTV Zambia,SuperSport 3,Telemundo,Zee World,Diamond,","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,Nickelodeon,QTV Zambia,SuperSport 3,Telemundo,Zee World,Diamond,"
690,60641373,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Channel O,E Africa,E! Entertainment,Emmanuel TV,Eva English","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Boomerang,Channel O,E Africa,E! Entertainment,Emmanuel TV,Eva English,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,Prime Television,SuperSport 9,SuperSport Select,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,Zee World,ZNBC TV1","African Magic, Zambezi Magic,Mzansi,One Gospel,Zee World,ZNBC TV 1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Boomerang,Channel O,E! Entertainment,Emmanuel TV,Eva English,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,Prime Television,SuperSport 9,SuperSport Select,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Boomerang,Channel O,E Africa,E! Entertainment,Emmanuel TV,Eva English,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,Prime Television,SuperSport 9,SuperSport Select,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
691,60641441,"ABN TB,Al Jazeera,AMC Series,Animal Planet,Baby TV,BBC World News,Bollywood,Cartoon network,CBC TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel O,CNBC,CNN,Comedy Central,Discovery Channel,Disney Channel,Disney XD,E! Entertainment,EA TV,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Hope Channel,Hossana Tv,Jim Jam,Life TV,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Comedy,Mobi Tv,MTV,MTV Base,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,One Gospel,Peace TV,Peoples Weather,Prism Africa,QTV Zambia,SuperSport 1,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Urban,ZNBC TV3","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Animal Planet,Baby TV,BBC World News,Bollywood,Cartoon network,CBC TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel O,CNBC,CNN,Comedy Central,Discovery Channel,Disney Channel,Disney XD,E Africa,E! Entertainment,EA TV,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox News,Hope Channel,Hossana Tv,Jim Jam,Life TV,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Mzansi,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,One Gospel,Parliament TV,Peace TV,Peoples Weather,Prime Television,Prism Africa,Q TV,QTV Zambia,SuperSport 1,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN,Telemundo,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Urban,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),M-Net Movies Zone,Prime Television,Zee World","Africa Unite,African Magic, Zambezi Magic,M-Net Movies Zone,Mzansi,Prime Television,SuperSport 3,Telemundo,Zee World,ZNBC TV 2,ZNBC TV 1","Africa Unite,African Magic, Zambezi Magic,M-Net Movies Zone,Mzansi,Prime Television,SuperSport 3,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Animal Planet,Baby TV,BBC World News,Bollywood,Cartoon network,CBC TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel O,CNBC,CNN,Comedy Central,Discovery Channel,Disney Channel,Disney XD,E Africa,E! Entertainment,EA TV,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox News,Hope Channel,Hossana Tv,Jim Jam,Life TV,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Mzansi,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,One Gospel,Parliament TV,Peace TV,Peoples Weather,Prime Television,Prism Africa,Q TV,QTV Zambia,SuperSport 1,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN,Telemundo,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Urban,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
692,60641442,"Al Jazeera,Animal Planet,BBC World News,Bollywood,Boomerang,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,EA TV,Emmanuel TV,Fashion TV,Food Network,Fox Movies,Fox Movies +2,Hope Channel,Jim Jam,M-Net Movies Action,M-Net Movies Family,Muvi TV,One Gospel,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 9,SuperSport Select,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,BBC World News,Bollywood,Boomerang,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,EA TV,Emmanuel TV,Fashion TV,Food Network,Fox Movies,Fox Movies +2,Hope Channel,Jim Jam,M-Net Movies Action,M-Net Movies Family,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,One Gospel,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 9,SuperSport Select,TBN,Telemundo,Trace Gospel,Trace Muzik,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond",Trace Muzik,"M-Net Movies Zone,Trace Muzik,ZNBC TV 2,ZNBC TV 1","M-Net Movies Action,M-Net Movies Zone,Trace Muzik,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,BBC World News,Bollywood,Boomerang,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,EA TV,Emmanuel TV,Fashion TV,Food Network,Fox Movies,Fox Movies +2,Hope Channel,Jim Jam,M-Net Movies Action,M-Net Movies Family,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,One Gospel,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 9,SuperSport Select,TBN,Telemundo,Trace Gospel,Trace Muzik,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
693,60641531,"Muvi TV,Telemundo,Zee World,ZNBC TV1",,,nan,,
694,60641532,"Al Jazeera,Emmanuel TV,Hope Channel,Jim Jam,Muvi TV,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,TBN,Telemundo,ZNBC TV2,ZNBC TV3","Al Jazeera,Emmanuel TV,Hope Channel,Jim Jam,Muvi TV,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1",ZNBC TV2,ZNBC TV 2,"Hope Channel,SuperSport Select,ZNBC TV2,ZNBC TV1","Al Jazeera,Emmanuel TV,Hope Channel,Jim Jam,Muvi TV,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
695,60641533,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,Baby TV,E Africa,Emmanuel TV,Family TV,Fox Entertainment,France 24,Star KungFu 1,Star Movies 1,Star Novela E1,Star Zone- movies,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,StarTimes Music,Startimes Sports 2,Telemundo,Zee World","Al Jazeera,BBC World News,Emmanuel TV,France 24,ZNBC TV1,Diamond",ZNBC TV1,ZNBC TV 1,"Al Jazeera,BBC World News,Emmanuel TV,France 24,ZNBC TV1,Diamond","Al Jazeera,BBC World News,Emmanuel TV,France 24,ZNBC TV1,Diamond"
696,60641534,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Emmanuel TV,SuperSport,ZNBC TV1,Diamond",ZNBC TV1,"African Magic, Zambezi Magic,ZNBC TV 1","African Magic, Zambezi Magic,ZNBC TV1","African Magic, Zambezi Magic,ZNBC TV1"
697,60641535,"1 Music,BET,Channel O,ZNBC TV2,ZNBC TV3,ZNBC TV1","1 Music,African Magic, Zambezi Magic,BBC World News,BET,Channel O,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1",ZNBC TV1,ZNBC TV 1,"African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV1","1 Music,African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV1"
698,60641536,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Emmanuel TV,Muvi TV,SuperSport,SuperSport 1,SuperSport 2,Telemundo,Zee World,ZNBC TV2","African Magic, Zambezi Magic,SuperSport,SuperSport 1,Zee World,ZNBC TV1",ZNBC TV1,"SuperSport,ZNBC TV 1","African Magic, Zambezi Magic,SuperSport,ZNBC TV1","African Magic, Zambezi Magic,SuperSport,SuperSport 1,Zee World,ZNBC TV1"
699,60641537,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,BBC Earth,Channel O,Discovery Channel,Discovery Family,Discovery Science,Disney Channel,Emmanuel TV,Fox Movies,France 24,M-Net,M-Net Movies Action,MTV Base,One Gospel,One Music,Q TV,QTV Zambia,SABC,Sony Entertainment,Star KungFu 1,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport Select,TBC 1,TBN,Trace Gospel,Trace Sports Stars,Trace Urban,Travel Channel,True Movies 1,Zuku Entertainment,Zuku Kids,Zuku Life,Diamond","African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC Earth,Channel O,Emmanuel TV,Fox Movies,France 24,M-Net Movies Zone,MTV Base,One Gospel,Q TV,QTV Zambia,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,Telemundo,Trace Gospel,Trace Urban",SuperSport Select,"African Magic, Zambezi Magic,Channel O,M-Net Movies Zone,SuperSport Select,Trace Urban","African Magic, Zambezi Magic,Channel O,Fox Movies,M-Net Movies Zone,MTV Base,SuperSport Select,Trace Urban","African Magic, Zambezi Magic,Channel O,Fox Movies,M-Net Movies Zone,MTV Base,One Gospel,Sony Max,SuperSport Select,Trace Urban"
700,60641739,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,M-Net Movies Zone,Sony Max,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,M-Net Movies Zone,Sony Max,Zee World"
