,SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
1163,60753955,,"Emmanuel TV,ZNBC TV1,",,nan,"ZNBC TV1,","Emmanuel TV,ZNBC TV1"
1164,60753956,ZNBC TV1,"ZNBC TV1,",,nan,,
1165,60753957,"BBC Lifestyle,BBC World News,Zuku Sports,Diamond","ZNBC TV2,ZNBC TV1,Zuku Sports,Don't know",,nan,,ZNBC TV2
1166,60753958,"CNN,SuperSport,SuperSport 1,SuperSport 2,ZNBC TV2",,,nan,,
1167,60754077,,,,nan,,
1168,60754078,ZNBC TV1,"Zee World,ZNBC TV1",Zee World,Zee World,"Zee World,ZNBC TV1","Zee World,ZNBC TV1"
1169,60754079,,,,nan,,
1170,60754080,,,,nan,,
1171,60754081,,,,nan,,
1172,60754082,,,,nan,,
1173,60754083,,,,nan,,
1174,60754084,,,,nan,,
1175,60754085,,,,nan,,
1176,60754086,,,,nan,,
1177,60754087,,,,nan,,
1178,60754090,,,,nan,,
1179,60754091,,,,nan,,
1180,60754092,,,,nan,,
1181,60754093,,,,nan,,
1182,60754094,,,,nan,,
1183,60755118,,,,nan,,
1184,60755119,Emmanuel TV,"African Magic, Zambezi Magic,Emmanuel TV,Zee World,ZNBC TV1",Zee World,Zee World,"African Magic, Zambezi Magic,Emmanuel TV,Zee World,ZNBC TV1","African Magic, Zambezi Magic,Emmanuel TV,Zee World,ZNBC TV1"
1185,60755120,"Emmanuel TV,Telemundo,ZNBC TV1","African Magic, Zambezi Magic,Emmanuel TV,MTV,National Geographic Channel,Nickelodeon,Telemundo,ZNBC TV1",ZNBC TV1,ZNBC TV 1,ZNBC TV1,"African Magic, Zambezi Magic,Emmanuel TV,MTV,National Geographic Channel,Nickelodeon,Telemundo,ZNBC TV1"
1186,60755121,"Muvi TV,Sky News,SuperSport,SuperSport 9,ZNBC TV2,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Cartoon network,Channel O,Discovery Channel,M-Net Movies Action,MTV Base,Muvi TV,National Geographic Channel,Nickelodeon,Sky News,SuperSport,SuperSport 3,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","Al Jazeera,M-Net Movies Action","Al Jazeera,BBC World News,M-Net Movies Action,SuperSport","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Cartoon network,Channel O,Discovery Channel,M-Net Movies Action,MTV Base,Muvi TV,National Geographic Channel,Nickelodeon,Sky News,SuperSport,SuperSport 3,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Cartoon network,Channel O,Discovery Channel,M-Net Movies Action,MTV Base,Muvi TV,National Geographic Channel,Nickelodeon,Sky News,SuperSport,SuperSport 3,SuperSport 9,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond"
1187,60755122,Star Movies 1,"Star KungFu 1,Star Movies 1,Startimes Sports 2,ZNBC TV1,Diamond",Star KungFu 1,Star KungFu 1,"Star KungFu 1,Star Movies 1,Startimes Sports 2,ZNBC TV1","Star KungFu 1,Star Movies 1,Startimes Sports 2,ZNBC TV1"
1188,60755123,,,,nan,,
1189,60755601,"African Magic, Zambezi Magic,Muvi TV,Prime Television,SuperSport 1,Telemundo,Trace Urban,Zee World","African Magic, Zambezi Magic,Muvi TV,Prime Television,SuperSport 1,Telemundo,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1",ZNBC TV1,ZNBC TV 2,Prime Television,"African Magic, Zambezi Magic,Muvi TV,Prime Television,SuperSport 1,Telemundo,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1"
1190,60755602,"BBC World News,CBC TV,Emmanuel TV,National Geographic Channel,SuperSport 3,SuperSport 4,SuperSport 9","BBC World News,CBC TV,E Africa,E! Entertainment,Emmanuel TV,M-Net,M-Net Movies Zone,National Geographic Channel,Prime Television,Q TV,SuperSport 3,SuperSport 4,SuperSport 9,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,","Emmanuel TV,National Geographic Channel,SuperSport 3,SuperSport 9,","BBC World News,E! Entertainment,Prime Television,Q TV,SuperSport 3,SuperSport 4,SuperSport 9,ZNBC TV 1","BBC World News,CBC TV,E Africa,E! Entertainment,M-Net,M-Net Movies Zone,National Geographic Channel,Prime Television,Q TV,SuperSport 3,SuperSport 4,SuperSport 9,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1","BBC World News,CBC TV,E Africa,E! Entertainment,Emmanuel TV,M-Net,M-Net Movies Zone,National Geographic Channel,Prime Television,Q TV,SuperSport 3,SuperSport 4,SuperSport 9,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,"
1191,60755603,"M-Net Movies Zone,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 9","M-Net Movies Zone,Muvi TV,Prime Television,Q TV,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 9,ZNBC TV2,ZNBC TV1","SuperSport 3,SuperSport 9","SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 9","SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 9","M-Net Movies Zone,Muvi TV,Prime Television,Q TV,Studio Universal,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 9,ZNBC TV2,ZNBC TV1"
1192,60757629,"M-Net Movies Zone,Nickelodeon,Prime Television,TBN,Telemundo,Zee World,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,BET,Cartoon network,CBC TV,Emmanuel TV,Fashion TV,Fox,M-Net Movies Action,M-Net Movies Zone,National Geographic Channel,Nickelodeon,Prime Television,QTV Zambia,Sony Entertainment,Sony Max,SuperSport,Supersport Blitz,TBN,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","Nickelodeon,Prime Television,QTV Zambia,SuperSport,ZNBC TV1,Diamond","Al Jazeera,BBC World News,CBC TV,National Geographic Channel,Nickelodeon,Prime Television,Q TV,SuperSport,ZNBC TV 1,Diamond TV","African Magic, Zambezi Magic,Al Jazeera,BBC World News,BET,Cartoon network,CBC TV,Emmanuel TV,Fashion TV,Fox,M-Net Movies Action,M-Net Movies Zone,National Geographic Channel,Nickelodeon,Prime Television,QTV Zambia,Sony Entertainment,Sony Max,SuperSport,Supersport Blitz,TBN,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,BET,Cartoon network,CBC TV,Emmanuel TV,Fashion TV,Fox,M-Net Movies Action,M-Net Movies Zone,National Geographic Channel,Nickelodeon,Prime Television,QTV Zambia,Sony Entertainment,Sony Max,SuperSport,Supersport Blitz,TBN,ZNBC TV2,ZNBC TV1,Diamond"
1193,60757630,"Cartoon network,CBC TV,CNN,National Geographic Channel,SuperSport 3","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,BBC World News,Cartoon network,CBC TV,CNN,Fox,M-Net,M-Net Movies Action,M-Net Movies Zone,National Geographic Channel,Nickelodeon,Prime Television,QTV Zambia,SuperSport,SuperSport 3,SuperSport 9,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond","Prime Television,SuperSport,ZNBC TV1","Al Jazeera,BBC World News,Prime Television,SuperSport,ZNBC TV 1","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,BBC World News,Cartoon network,CBC TV,CNN,Fox,M-Net,M-Net Movies Action,M-Net Movies Zone,National Geographic Channel,Nickelodeon,Prime Television,QTV Zambia,SuperSport,SuperSport 3,SuperSport 9,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,BBC World News,Cartoon network,CBC TV,CNN,Fox,M-Net,M-Net Movies Action,M-Net Movies Zone,National Geographic Channel,Nickelodeon,Prime Television,QTV Zambia,SuperSport,SuperSport 3,SuperSport 9,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond"
1194,60757631,"African Magic, Zambezi Magic,Prime Television,QTV Zambia,Zee World","African Magic, Zambezi Magic,Emmanuel TV,Prime Television,QTV Zambia,SuperSport,SuperSport 9,SuperSport Select,Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,SuperSport,Zee World","Emmanuel TV,Prime Television,SuperSport,Zee World","Emmanuel TV,Prime Television,SuperSport,Zee World","African Magic, Zambezi Magic,Emmanuel TV,Prime Television,QTV Zambia,SuperSport,SuperSport 9,SuperSport Select,Zee World,ZNBC TV2,ZNBC TV1"
1195,60757632,"Prime Television,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Emmanuel TV,Prime Television,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","Telemundo,Zee World","Emmanuel TV,Prime Television,Telemundo,Zee World","Emmanuel TV,Prime Television,Telemundo,Zee World","African Magic, Zambezi Magic,Emmanuel TV,Prime Television,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
1196,60757633,"Boomerang,Diamond","African Magic, Zambezi Magic,Boomerang,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Telemundo,Zee World","African Magic, Zambezi Magic,Telemundo,Zee World","African Magic, Zambezi Magic,Telemundo,Zee World","African Magic, Zambezi Magic,Boomerang,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
1197,60757635,"BBC World News,E Africa,Muvi TV,QTV Zambia","African Magic, Zambezi Magic,BBC World News,E Africa,Fox,Muvi TV,Prime Television,QTV Zambia,SuperSport Select,Zee World,ZNBC TV2,ZNBC TV1","Prime Television,SuperSport Select","Prime Television,SuperSport Select,ZNBC TV 1","Prime Television,SuperSport Select,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,E Africa,Prime Television,QTV Zambia,Zee World,ZNBC TV2,ZNBC TV1"
1198,60757636,Zee Cinema,"African Magic, Zambezi Magic,BBC World News,CBC TV,Emmanuel TV,Fox,SuperSport,SuperSport Select,TBN,Telemundo,Zee Cinema,Zee World,ZNBC TV2,ZNBC TV1,Diamond,","Zee World,ZNBC TV2,ZNBC TV1","Emmanuel TV,Zee World,ZNBC TV 2,ZNBC TV 1,","African Magic, Zambezi Magic,CBC TV,Emmanuel TV,Fox,SuperSport Select,Telemundo,Zee Cinema,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,BBC World News,CBC TV,Emmanuel TV,Fox,SuperSport,SuperSport Select,TBN,Telemundo,Zee Cinema,Zee World,ZNBC TV2,ZNBC TV1,Diamond,"
1199,60757637,"CBC TV,CNN,Discovery Channel,National Geographic Channel,Prime Television,QTV Zambia,Sony Entertainment,Sony Max,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,CBC TV,CNN,Discovery Channel,M-Net Movies Action +,MTV Base,National Geographic Channel,Prime Television,QTV Zambia,Sony Entertainment,Sony Max,SuperSport 3,SuperSport 9,Supersport Blitz,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond,","MTV Base,SuperSport 3","M-Net Movies Action +,MTV Base,Q TV,SuperSport 3,","Al Jazeera,BBC World News,Discovery Channel,MTV Base,National Geographic Channel,QTV Zambia,SuperSport 3,SuperSport 9,Supersport Blitz,SuperSport Select,","African Magic, Zambezi Magic,Al Jazeera,BBC World News,CBC TV,CNN,Discovery Channel,M-Net Movies Action +,MTV Base,National Geographic Channel,Prime Television,QTV Zambia,Sony Entertainment,Sony Max,SuperSport 3,SuperSport 9,Supersport Blitz,SuperSport Select,ZNBC TV2,ZNBC TV1,Diamond,"
1200,60760177,"1 Music,3 Stones TV,Africa Unite,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC World News,BET International,Boomerang,Channel O,Chipata,E Africa,E! Entertainment,Emmanuel TV,Eva English,Fashion One,Fashion TV,Fox,Fox Crime,Fox Sports,Fox Sports 2,France 24,Hossana Tv,Inspiration TV,ITV Choice,Jim Jam,Kiss (KE),Magic,Mindset,M-Net,M-Net Movies Action,M-Net Movies Zone,MTV Base,Muvi TV,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,SABC,StarTimes Gospel,StarTimes Music,StarTimes Soul,Supersport Blitz,SuperSport maximo,SuperSport Select,Trace Urban,Vuzu,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","Africa Unite,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC World News,BET International,Boomerang,Channel O,Chipata,E Africa,E! Entertainment,Emmanuel TV,Eva English,Fox,France 24,Hossana Tv,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,M-Net,M-Net Movies Action,Muvi TV,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,Prime Television,QTV Zambia,Star KungFu 1,Star Movies 1,Star Novela E1,Star Novela E3,Star One,StarTimes Gospel,StarTimes Soul,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","BBC World News,ZNBC TV2","Emmanuel TV,Iroko Play-African Movies","Al Jazeera,B4U Movies,Chipata,E Africa,E! Entertainment,Emmanuel TV,France 24,Hossana Tv,Iroko Play-African Movies,Iroko Plus-African Movies,Muvi TV,Nat Geo Wild,Prime Television,QTV Zambia,Star KungFu 1,Star Movies 1,Star Novela E1,Star Novela E3,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,BET International,Boomerang,Channel O,Chipata,E Africa,E! Entertainment,Emmanuel TV,Eva English,Fox,France 24,Hossana Tv,Iroko Play-African Movies,Iroko Plus-African Movies,Jim Jam,Muvi TV,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Prime Television,QTV Zambia,Star KungFu 1,Star Movies 1,Star Novela E1,Star Novela E3,Star One,StarTimes Gospel,StarTimes Soul,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1"
1201,60760178,"ABN TB,Africa Unite,African Magic, Zambezi Magic,Ahluibayt TV,Al Jazeera,B4U Movies,BBC World News,BET,Channel ED,Channel O,Chipata,CNN,Discovery IDX,DW-TV,E Africa,E! Entertainment,Ebony Life TV,Emmanuel TV,ESPN,Fox Sports,Fox Sports 2,France 24,FX,Glow TV,Hope Channel,Hossana Tv,Jim Jam,Muvi TV,Nat Geo Wild,National Geographic Channel,QTV Zambia,SuperSport","Africa Unite,African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel ED,Channel O,Chipata,CNN,Discovery IDX,DW-TV,Ebony Life TV,Emmanuel TV,ESPN,Fox Sports,Fox Sports 2,France 24,FX,Hossana Tv,Muvi TV,National Geographic Channel,QTV Zambia,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond",ZNBC TV1,"ZNBC TV 2,ZNBC TV 1","Africa Unite,African Magic, Zambezi Magic,Al Jazeera,BBC World News,CNN,Ebony Life TV,Emmanuel TV,ZNBC TV2,ZNBC TV3,ZNBC TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Channel ED,Channel O,Chipata,CNN,Discovery IDX,DW-TV,Ebony Life TV,Emmanuel TV,Fox Sports,Fox Sports 2,France 24,FX,Hossana Tv,Muvi TV,National Geographic Channel,QTV Zambia,Telemundo,Zee World,ZNBC TV2,ZNBC TV3,ZNBC TV1,Diamond"
