SbjNum,Read or paged through a newspaper,Watched pay TV,Internet Users,Social Network Sites Users,Radio Listenership,Magazine Readership,TV Viewership,Watched Video/Movie using VCR,Watched VCD/ DVD,Music on CD,Music on IPOD/MP3 player,Watched pay TV e.g.DSTV,Email Access,Visit a Cinema,Sent SMS on Phone,Made a Call on Phone,Mobile Cinema or Projected,Book Reader,Promotion participant,Newspaper Online Readership,Radio Listenership - Mobile Phone,Promotion participant - SMS,Radio/TV Talk Show participant - SMS,Radio/TV Talk Show participant - Call,Attended/Participated in a road show,Community Education Meeting,Stereo tape,Watched Free to Air,Sent SMS using Internet
60685719,Past 12 Months,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Past 12 Months,Past 7 Days,Past 7 Days,Past 12 Months,Past 4 Weeks,Past 4 Weeks,Past 4 Weeks,Past 7 Days,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Never,Past 4 Weeks,Past 7 Days
60685720,Past 4 Weeks,Past 7 Days,Past 7 Days,Past 7 Days,Past 7 Days,Past 4 Weeks,Past 7 Days,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 7 Days,Past 7 Days,Past 12 Months,Past 4 Weeks,Past 12 Months,Never,Past 4 Weeks,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Past 7 Days
60685721,Never,Past 12 Months,Never,Never,Past 4 Weeks,Never,Past 4 Weeks,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Never,Past 4 Weeks,Past 7 Days,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Past 4 Weeks,Never
60685722,Past 12 Months,Past 4 Weeks,Never,Never,Past 7 Days,Past 12 Months,Past 7 Days,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 4 Weeks,Never,Never,Past 4 Weeks,Past 7 Days,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never,Past 7 Days,Never
60685770,Past 7 Days,Past 4 Weeks,Past 7 Days,Past 7 Days,Yesterday,Past 4 Weeks,Past 4 Weeks,Past 12 Months,Past 4 Weeks,Past 7 Days,Past 12 Months,Past 4 Weeks,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Past 12 Months,Never,Past 12 Months,Past 12 Months,Never,Never,Never,Never,Never,Past 12 Months,Past 7 Days
60685771,Past 12 Months,Past 12 Months,Past 4 Weeks,Past 7 Days,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 4 Weeks,Past 12 Months,Past 12 Months,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Past 4 Weeks,Past 7 Days
60685772,Past 12 Months,Past 7 Days,Never,Never,Past 4 Weeks,Never,Past 7 Days,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 7 Days,Never,Never,Past 7 Days,Past 7 Days,Never,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never
60687020,Past 12 Months,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Past 12 Months,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Past 4 Weeks,Never,Past 12 Months,Yesterday
60688035,Never,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never
60688036,Past 12 Months,Yesterday,Past 7 Days,Yesterday,Past 7 Days,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Never
