SbjNum,Where TV was watched P7D,Other Locations where TV was watched P7D,Usually access to TV channel(s),6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,,Favourite or Most Preferred Television Station,Reasons for Favourite or Most Preferred Television Station,Preferred days of the week to watch,Types of TV programmes like to watch,Other Types of TV programmes like to watch,ZNBC TV1 programmes watched in P7D,Other ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Other ZNBC TV2 programmes watched in P7D,ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Muvi TV,Mobi Tv,CBC TV,CBS TV,TBN,Africa Unite,DSTV,My TV,GOTV,Prime TV,Echo TV,City Channel Cable Network TV,North-Western TV,Diamond TV,Kwese TV,Don’t know/ don’t watch these types of programmes,Other (specify),"Best TV stations for News/current affairs, Sports, Entertainment, Education, Religious issues, Political issues, Movies, Dramas"
60514731,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it's entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday",, ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60514732,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday",,Indian  movies,, ,, ,News & current affairs,Entertainment,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60514733,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it's fun,"Monday,Tuesday,Wednesday,Thursday,Friday",,Indian series,, ,, ,News & current affairs,Sports,Education,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60514734,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,,Diamond,it fun,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Local drama, ,, ,, ,Education,Political issues,Movies,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,,, 
60514735,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,SuperSport 9,drama,"Monday,Tuesday,Wednesday,Thursday,Friday","Other sports,African movies,American movies,Local drama", ,, ,, ,Sports,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Education,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515239,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,6 days per week,Do not watch at this time,Do not watch at this time,,Zee World,nice movie's,"Tuesday,Thursday",, ,Sunday Interview, ,Other (specify),none,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515240,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,5 days per week,Do not watch at this time,Do not watch at this time,,Zee World,nice movies,"Monday,Wednesday",, ,News, ,, ,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515241,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,SuperSport 3,they televise best sporting activities,"Wednesday,Saturday",Other sports, ,News, ,, ,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515242,"Another household (friends, relatives house)", ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,2 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it has entertaining soap,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Education,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60515243,"At home,Another household (friends, relatives house)", ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,TV1,it has best current affairs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,News, ,Movie, ,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
