SbjNum,Where TV was watched P7D,Other Locations where TV was watched P7D,Usually access to TV channel(s),6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,,Favourite or Most Preferred Television Station,Reasons for Favourite or Most Preferred Television Station,Preferred days of the week to watch,Types of TV programmes like to watch,Other Types of TV programmes like to watch,ZNBC TV1 programmes watched in P7D,Other ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Other ZNBC TV2 programmes watched in P7D,ZNBC TV1 programmes watched in P7D,ZNBC TV2 programmes watched in P7D,Muvi TV,Mobi Tv,CBC TV,CBS TV,TBN,Africa Unite,DSTV,My TV,GOTV,Prime TV,Echo TV,City Channel Cable Network TV,North-Western TV,Diamond TV,Kwese TV,Don’t know/ don’t watch these types of programmes,Other (specify),"Best TV stations for News/current affairs, Sports, Entertainment, Education, Religious issues, Political issues, Movies, Dramas"
60608400,At home, ,On a TV set,7 days per week,7 days per week,Do not watch at this time,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,Emmanuel TV,because  of church programs,Monday,,church programs,, ,, ,Education,Education,News & current affairs,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,Movies,Entertainment,Entertainment,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Political issues,None/Don’t know,,, 
60608401,At home, ,On a TV set,7 days per week,2 days per week,2 days per week,2 days per week,5 days per week,Do not watch at this time,Do not watch at this time,,Nickelodeon,because I like cartoons,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Other sports,African movies,American movies,Other (specify)",reality shows and magic shoes,, ,, ,News & current affairs,Political issues,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60608434,At home, ,On a TV set,2 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,4 days per week,Do not watch at this time,Do not watch at this time,,Al Jazeera,I like listening to current news,"Saturday,Sunday",, ,, ,, ,Political issues,Political issues,News & current affairs,None/Don’t know,None/Don’t know,Education,None/Don’t know,Movies,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,Religious issues,Political issues,Movies,Political issues,Movies,,, 
60608645,At home, ,On a TV set,7 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Less than that,Do not watch at this time,,African magic,educates her regarding customs and tradition,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","African movies,American movies,South African drama programmes,Local drama", ,"News,Sunday Interview,Detective Dick/ Cartoon,Sounds Arcade,Focus,Wild Hearts,Lunch Break", ,, ,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Entertainment,None/Don’t know,Entertainment,Political issues,None/Don’t know,Education,None/Don’t know,Dramas,None/Don’t know,,, 
60610456,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,Less than that,Less than that,Do not watch at this time,,TV1,update for current affairs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Other sports,African movies", ,"News,Sunday Interview,Smooth Talk", ,"Morning Live,Movie", ,News & current affairs,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Sports,Entertainment,Movies,Political issues,None/Don’t know,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60610620,At home, ,On a TV set,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,,Trace Urban,good music,Friday,, ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,Movies,None/Don’t know,Religious issues,Movies,Entertainment,Movies,Movies,Entertainment,None/Don’t know,Movies,None/Don’t know,Movies,Entertainment,,, 
60610939,At home, ,On a TV set,1 day per week,Do not watch at this time,Do not watch at this time,6 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,,M-Net Movies Action,it has the best action movies,"Wednesday,Thursday","African movies,American movies,Mexican movies,Local drama", ,, ,, ,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Sports,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,Movies,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60610940,At home, ,On a TV set,1 day per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it has the best soap opera movies,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Other sports,Documentaries,African movies,American movies,Mexican movies,South African drama programmes,Local drama,Magazine", ,News, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,News & current affairs,News & current affairs,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Political issues,Dramas,Movies,None/Don’t know,Movies,None/Don’t know,,, 
60611000,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zuku Novella,it's entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday","African movies,American movies", ,, ,, ,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611001,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Star Novela E1,it's entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday","African movies,American movies", ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611002,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it's fun,"Monday,Tuesday,Wednesday,Thursday,Friday","African movies,Local drama", ,, ,Morning Live, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611003,At home, ,On a TV set,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,African magic,it's entertaining,Monday,"African movies,American movies", ,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611004,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,it's entertaining,"Monday,Tuesday,Wednesday,Thursday,Friday","African movies,American movies", ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611355,At home, ,On a TV set,7 days per week,2 days per week,2 days per week,2 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,{0},Because I enjoy watching  big brother,Monday,,Reality  programs,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Political issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611356,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,3 days per week,Do not watch at this time,Do not watch at this time,,TV1,Because I want to know what's happening in Zambia on news,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",, ,News, ,, ,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Education,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611357,"At home,In a bar", ,On a TV set,7 days per week,7 days per week,7 days per week,6 days per week,Less than that,3 days per week,Less than that,,M-Net Movies Action,I love the movies,"Thursday,Friday,Saturday",, ,News, ,, ,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611358,"At home,In a bar", ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,3 days per week,Do not watch at this time,Do not watch at this time,,SuperSport 3,Because of a variety in terms of games,"Saturday,Sunday",Soccer commentaries, ,, ,, ,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60611721,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,MTV Base,Music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,, ,News & current affairs,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,Movies,Entertainment,Political issues,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612536,"Another household (friends, relatives house)", ,On a TV set,Do not watch at this time,Do not watch at this time,1 day per week,3 days per week,3 days per week,4 days per week,Less than that,,City Channel Cable Network TV,action movies,"Monday,Wednesday,Saturday,Sunday","Soccer commentaries,African movies", ,, ,, ,News & current affairs,Education,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Sports,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Movies,None/Don’t know,Entertainment,None/Don’t know,,, 
60612537,At home, ,On a TV set,Less than that,Less than that,Less than that,2 days per week,7 days per week,Less than that,Do not watch at this time,,Hope Channel,gospel,"Monday,Saturday,Sunday",Other (specify),religious content,, ,, ,News & current affairs,None/Don’t know,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Dramas,Dramas,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612538,"At home,Another household (friends, relatives house)", ,On a TV set,7 days per week,7 days per week,2 days per week,3 days per week,2 days per week,7 days per week,Do not watch at this time,,Zee World,bollywood telenovellas,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Mexican movies,Other (specify)",bollywood telenovela,, ,, ,News & current affairs,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Dramas,None/Don’t know,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612539,"At home,Another household (friends, relatives house)", ,On a TV set,Less than that,Less than that,2 days per week,2 days per week,5 days per week,3 days per week,Do not watch at this time,,Q TV,movies,"Monday,Wednesday,Friday,Saturday,Sunday","Soccer commentaries,American movies", ,, ,, ,News & current affairs,Entertainment,None/Don’t know,Movies,None/Don’t know,None/Don’t know,Religious issues,Movies,Entertainment,None/Don’t know,Dramas,News & current affairs,None/Don’t know,Movies,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612540,At home, ,On a TV set,2 days per week,Less than that,Less than that,Less than that,7 days per week,Less than that,Less than that,,One Gospel,gospel videos,"Saturday,Sunday","Documentaries,African movies", ,News, ,, ,News & current affairs,Education,Political issues,Movies,Dramas,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Dramas,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612541,, ,,,,,,,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,, 
60612542,At home, ,On a TV set,2 days per week,Less than that,2 days per week,2 days per week,7 days per week,Less than that,Do not watch at this time,,TV1,news and current affairs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Documentaries,Magazine", ,"News,Sunday Interview,Sports -on,Focus,Kwacha Good Morning,Lets Talk,Smooth Talk,TV Local Language Programmes (Njuwelelo, chintobentobe, …),National Watch,Your Health Matters,On Air,Faith Gospel,Zambian Farmer", ,Morning Live, ,News & current affairs,News & current affairs,News & current affairs,News & current affairs,News & current affairs,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Dramas,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612959,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,5 days per week,5 days per week,3 days per week,Do not watch at this time,Do not watch at this time,,Emmanuel TV,prayers,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","American movies,Other (specify)",medical programmes,"News,Sunday Interview,Lunch Break,TV Local Language Programmes (Njuwelelo, chintobentobe, …)", ,Other (specify),the programm on adults,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612960,At home, ,On a TV set,7 days per week,3 days per week,3 days per week,Less than that,Less than that,Less than that,Do not watch at this time,,MTV Base,mixed music(mtv base),"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,American movies", ,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Movies,Sports,None/Don’t know,Sports,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60612961,At home, ,On a TV set,4 days per week,4 days per week,4 days per week,7 days per week,7 days per week,Do not watch at this time,Do not watch at this time,,African magic,nigerian movies,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",American movies, ,, ,, ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60612962,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,3 days per week,7 days per week,Less than that,Do not watch at this time,,Emmanuel TV,deliverance and prayers (Emmanuel tv),"Wednesday,Thursday,Friday,Saturday,Sunday","Documentaries,Local drama,Magazine,Other (specify)",events of the week,"News,TV Local Language Programmes (Njuwelelo, chintobentobe, …)", ,Other (specify),only news,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Sports,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60613041,At home, ,On a TV set,Less than that,Less than that,Less than that,Less than that,7 days per week,7 days per week,Less than that,,Prime Television,News content,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Documentaries,Local drama", ,News, ,Other (specify),News,News & current affairs,News & current affairs,Entertainment,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,Entertainment,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60613042,"Another household (friends, relatives house),In a bar,In a restaurant", ,On a TV set,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Do not watch at this time,,SuperSport 9,Local football league,"Saturday,Sunday","Soccer commentaries,Documentaries,American movies", ,, ,, ,News & current affairs,News & current affairs,Entertainment,None/Don’t know,News & current affairs,Entertainment,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60613043,At home, ,On a TV set,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,,Nat Geo Wild,Educative programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Other sports,Documentaries,African movies,American movies,South African drama programmes", ,, ,, ,Religious issues,News & current affairs,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60613044,"At home,Another household (friends, relatives house),In a bar", ,On a TV set,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Do not watch at this time,,SuperSport 3,Football Matches,"Saturday,Sunday","Soccer commentaries,American movies", ,News, ,Other (specify),News,None/Don’t know,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60613045,At home, ,On a TV set,Less than that,5 days per week,Less than that,Less than that,Less than that,7 days per week,7 days per week,,National Geographic Channel,Educative programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Soccer commentaries,Documentaries,African movies,American movies", ,, ,, ,None/Don’t know,News & current affairs,News & current affairs,None/Don’t know,News & current affairs,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60613046,"In a bar,In a market place,Other (specify)",Football viewing centre,On a TV set,Do not watch at this time,Do not watch at this time,Less than that,2 days per week,Less than that,Less than that,Do not watch at this time,,SuperSport 3,Football Matches,"Saturday,Sunday","Soccer commentaries,American movies", ,News, ,Other (specify),News,News & current affairs,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,,, 
60615792,"At home,Another household (friends, relatives house)", ,On a TV set,Less than that,3 days per week,2 days per week,2 days per week,7 days per week,7 days per week,Less than that,,Zee World,They bring eductive movies .,"Monday,Tuesday,Wednesday,Thursday,Friday","Soccer commentaries,American movies,Mexican movies,Local drama", ,News, ,Other (specify),Local News,News & current affairs,News & current affairs,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Movies,,, 
60616146,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Zee World,because of the series  they bring,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",African movies, ,, ,, ,Education,None/Don’t know,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60616147,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Less than that,,E! Entertainment,because she like entertainment,"Wednesday,Thursday,Friday",, ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Entertainment,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,,, 
60616148,At home, ,On a TV set,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,1 Music,she loves songs,"Saturday,Sunday",Local drama, ,, ,, ,Sports,Dramas,News & current affairs,Movies,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,,, 
60616149,At home, ,On a TV set,Do not watch at this time,7 days per week,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,,Zee World,they bring movies that she likes,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","African movies,American movies,Mexican movies,Local drama", ,, ,, ,News & current affairs,News & current affairs,Entertainment,None/Don’t know,Entertainment,None/Don’t know,Religious issues,Movies,Entertainment,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,Movies,None/Don’t know,Dramas,None/Don’t know,,, 
60616847,"At home,Another household (friends, relatives house),In a bar,At school/College", ,On a TV set,Less than that,5 days per week,4 days per week,6 days per week,7 days per week,6 days per week,Less than that,,Universal Channel,They air latest romantic movies.,"Saturday,Sunday","American movies,Mexican movies,Other (specify)",Indian movies,News, ,Other (specify),none,News & current affairs,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Movies,Movies,Dramas,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Dramas,None/Don’t know,,, 
60617258,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,4 days per week,Do not watch at this time,Do not watch at this time,,TV1,because if news and current affairs,Monday,, ,News, ,Movie, ,News & current affairs,Entertainment,Entertainment,Religious issues,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60617259,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,3 days per week,Do not watch at this time,Do not watch at this time,,SuperSport 3,bring nice movies,Saturday,"American movies,Local drama", ,News, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60617260,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,Zee Cinema,they televise nice mexican movies,Monday,"African movies,Mexican movies,Local drama", ,News, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Movies,None/Don’t know,None/Don’t know,,, 
60617261,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,3 days per week,Do not watch at this time,Do not watch at this time,,Prime Television,the bring nice movies,Friday,Local drama, ,News, ,Morning Live, ,News & current affairs,Entertainment,None/Don’t know,Entertainment,Movies,None/Don’t know,Religious issues,Entertainment,None/Don’t know,None/Don’t know,Education,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60617262,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,Zee World,the broadcast nice movies,Monday,, ,, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60617263,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,Star Series E1,the bring nice movies,Tuesday,, ,News, ,Movie, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Dramas,None/Don’t know,,, 
60617264,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,Zee World,the bring nice movies,Saturday,Mexican movies, ,News, ,, ,News & current affairs,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,Sports,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60617265,, ,,,,,,,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,, 
60617266,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,4 days per week,5 days per week,Do not watch at this time,Do not watch at this time,,SuperSport 3,because they broadcast the premier league,Saturday,"Soccer commentaries,Other sports", ,News, ,Movie, ,News & current affairs,Entertainment,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,Sports,Entertainment,None/Don’t know,None/Don’t know,Entertainment,Entertainment,Sports,,, 
60617267,At home, ,On a TV set,Do not watch at this time,Do not watch at this time,Do not watch at this time,Do not watch at this time,5 days per week,Do not watch at this time,Do not watch at this time,,TV1,because of news and current affairs,Saturday,"African movies,Mexican movies", ,News, ,, ,News & current affairs,Entertainment,Entertainment,Entertainment,None/Don’t know,None/Don’t know,Religious issues,Entertainment,Sports,None/Don’t know,None/Don’t know,Education,None/Don’t know,None/Don’t know,None/Don’t know,Education,None/Don’t know,,, 
60618128,At home, ,On a TV set,7 days per week,Do not watch at this time,Do not watch at this time,Do not watch at this time,7 days per week,Do not watch at this time,Do not watch at this time,,Disney Channel,I love to watch cartoons,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",, ,, ,"Morning Live,Movie,Destiny River", ,News & current affairs,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,Entertainment,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,None/Don’t know,,, 
60618176,"At home,Another household (friends, relatives house)", ,On a TV set,Less than that,2 days per week,5 days per week,5 days per week,7 days per week,Less than that,Less than that,,SuperSport 3,Best for Premier  League.,"Saturday,Sunday","Soccer commentaries,Documentaries,American movies,Mexican movies,Local drama", ,, ,Destiny River, ,News & current affairs,Entertainment,Dramas,None/Don’t know,None/Don’t know,None/Don’t know,Religious issues,None/Don’t know,Movies,None/Don’t know,Entertainment,News & current affairs,None/Don’t know,None/Don’t know,None/Don’t know,Dramas,None/Don’t know,,, 
