SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60634401,Yes,MTN (MTN Mobile Money), ,,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60634402,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60634403,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60634404,Yes,Airtel (Airtel Money), ,No,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60634405,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60634406,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60634423,Yes,"MTN (MTN Mobile Money),Zamtel", ,,Yes,Yes,,,,,,,,, ,Recharged your airtime, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,Extremely satisfied,,,,,,,
60634971,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60635334,Yes,"Zamtel,Zoona,Zanaco (Zapit),Shoprite", ,,,Yes,Yes,Yes,,Yes,,,,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,,,Extremely satisfied,Extremely satisfied,Satisfied,,Extremely satisfied,,,
60635406,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60635488,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,Withdrawn money, ,"Paid a bill,Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,,,,,,,
60635490,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money,Paid a bill", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60635491,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60635719,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Paid a bill,Withdrawn money", ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,Extremely satisfied,,,,,,,,
60635720,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60635721,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60635795,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Paid a bill, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60636154,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite", ,Yes,No,,Yes,,,Yes,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60636187,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60636425,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60636972,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Shoprite", ,No,No,No,Yes,,,Yes,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60637378,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60637568,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60637863,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60638604,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60638856,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60639043,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,Haven’t used any services, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60639044,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60639045,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60639046,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60639047,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,Haven’t used any services, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60639283,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,No,No,,Yes,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60639386,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60639916,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Recharged your airtime,Paid a bill,Withdrawn money", ,Haven’t used any services, ,, ,, ,, ,, ,, ,, ,, ,, ,,Dissatisfied,Neither satisfied nor dissatisfied,,,,,,,,
60640299,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60640300,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Neither satisfied nor dissatisfied,,,,,,,,
60640302,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60640303,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60640304,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60640305,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60640632,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite", ,Yes,Yes,,Yes,,,Yes,,,,Sent money by SMS to another mobile number, ,Withdrawn money, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,Satisfied,Satisfied,,Satisfied,,,Satisfied,,,
60641373,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60641441,Yes,"Airtel (Airtel Money),Zoona,Shoprite", ,Yes,,,Yes,,,Yes,,,,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,Extremely satisfied,,,Extremely satisfied,,,Satisfied,,,
60641442,Yes,"MTN (MTN Mobile Money),Zoona,Zanaco (Zapit),Shoprite", ,,Yes,,Yes,Yes,,Yes,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,,Extremely satisfied,,Extremely satisfied,Extremely satisfied,,Satisfied,,,
60641531,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60641532,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60641533,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60641534,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60641535,Yes,"MTN (MTN Mobile Money),Zanaco (Zapit)", ,,Yes,,,Yes,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Neither satisfied nor dissatisfied,,,Satisfied,,,,,
60641536,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60641537,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60641739,Yes,MTN (MTN Mobile Money), ,,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60642157,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60642331,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60642332,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60642412,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60642680,Yes,MTN (MTN Mobile Money), ,,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60642681,Yes,MTN (MTN Mobile Money), ,,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60642682,Yes,MTN (MTN Mobile Money), ,,No,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60642683,Yes,Zoona, ,,,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60642684,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60642685,Yes,"Zoona,Shoprite", ,,,,No,,,No,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60643021,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Shoprite", ,No,No,No,Yes,,,Yes,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60644669,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost", ,No,No,No,Yes,Yes,No,Yes,Yes,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60648302,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite", ,Yes,No,,Yes,,,Yes,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60649333,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost", ,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60649637,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60649638,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60649639,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60649640,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60650160,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Recharged your airtime, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60650161,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60650162,Yes,"MTN (MTN Mobile Money),FNB (ewallet)", ,,Yes,,,,Yes,,,,,, ,Paid a bill, ,, ,, ,, ,"Sent money to a bank account,Sent money by SMS to another mobile number,Recharged your airtime,Paid a bill", ,, ,, ,, ,, ,,,Extremely satisfied,,,,Extremely satisfied,,,,
60650163,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Paid a bill, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60650164,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60650165,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Paid a bill, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60650166,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60650383,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Zanaco (Zapit)", ,Yes,Yes,,Yes,Yes,,,,,,Haven’t used any services, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,Sent money by SMS to another mobile number, ,, ,, ,, ,, ,, ,, ,,Satisfied,Extremely satisfied,,Extremely satisfied,Extremely satisfied,,,,,
60650431,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60650432,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60650433,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60650434,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60650435,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60650436,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60650481,Yes,Zoona, ,,,,Yes,,,,,,,, ,, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,,,Satisfied,,,,,,
60650482,Yes,Zoona, ,,,,Yes,,,,,,,, ,, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,,,Satisfied,,,,,,
60650483,Yes,Zoona, ,,,,Yes,,,,,,,, ,, ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,,,,Satisfied,,,,,,
60650484,Yes,"Airtel (Airtel Money),Zoona", ,Yes,,,Yes,,,,,,,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,Other (specify), ,, ,, ,, ,, ,, ,, ,,Satisfied,,,Satisfied,,,,,,
60650485,Yes,"Zoona,Shoprite,Zampost", ,,,,No,,,No,No,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60650486,Yes,"MTN (MTN Mobile Money),Zoona,FNB (ewallet),Shoprite", ,,Yes,,Yes,,Yes,Yes,,,,, ,Sent money by SMS to another mobile number, ,, ,Sent money by SMS to another mobile number, ,, ,Withdrawn money, ,Withdrawn money, ,, ,, ,, ,,,Satisfied,,Satisfied,,Satisfied,Dissatisfied,,,
60650487,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,Yes,Yes,,Yes,,,,,,,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number", ,"Paid a bill,Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,Satisfied,,,,,,
60651315,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60651316,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60651317,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60651318,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60651953,Yes,"MTN (MTN Mobile Money),Zoona", ,,Yes,,Yes,,,,,,,, ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,Neither satisfied nor dissatisfied,,,,,,
60651954,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60651955,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60653289,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Other (specify)",Speedpay,Yes,No,No,Yes,Yes,Yes,Yes,,No,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60654475,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Zanaco (Zapit),Shoprite", ,No,Yes,,Yes,Yes,,Yes,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60654803,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost", ,No,No,,No,No,No,No,No,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60654804,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,No,No,,No,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60654805,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite,Zampost", ,No,No,,Yes,,,No,No,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60654806,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,FNB (ewallet),Shoprite,Zampost", ,Yes,Yes,,Yes,,Yes,Yes,Yes,,,"Paid a bill,Withdrawn money", ,Withdrawn money, ,, ,Withdrawn money, ,, ,Withdrawn money, ,Withdrawn money, ,Sent money by SMS to another mobile number, ,, ,, ,,Satisfied,Satisfied,,Satisfied,,Satisfied,Satisfied,Satisfied,,
60654807,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,No,No,,Yes,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60654808,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona", ,Yes,Yes,,Yes,,,,,,,"Paid a bill,Withdrawn money", ,"Recharged your airtime,Withdrawn money", ,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,Satisfied,,,,,,
60654809,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60654810,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Paid a bill,Withdrawn money,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60654811,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Paid a bill,Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,,,,,,,,,
60658199,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60658200,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60658201,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60658202,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60658203,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60658204,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,"Sent money by SMS to another mobile number,Withdrawn money,Recharged your airtime", ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,Neither satisfied nor dissatisfied,Satisfied,,,,,,,,
60663456,Yes,"MTN (MTN Mobile Money),Zoona,Shoprite", ,,Yes,,Yes,,,Yes,,,,, ,"Withdrawn money,Recharged your airtime", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,Withdrawn money, ,, ,, ,, ,,,Extremely satisfied,,Extremely satisfied,,,Extremely satisfied,,,
60664454,Yes,"MTN (MTN Mobile Money),Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite", ,,Yes,,Yes,Yes,Yes,Yes,,,,, ,"Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,"Withdrawn money,Recharged your airtime,Sent money by SMS to another mobile number", ,Withdrawn money, ,, ,, ,, ,,,Satisfied,,Satisfied,Dissatisfied,Extremely satisfied,Dissatisfied,,,
60664455,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Zanaco (Zapit)", ,No,Yes,,No,Yes,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60664456,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite", ,Yes,Yes,,Yes,,,Yes,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,"Recharged your airtime,Withdrawn money", ,, ,Withdrawn money, ,, ,, ,Withdrawn money, ,, ,, ,, ,,Satisfied,Satisfied,,Satisfied,,,Satisfied,,,
60664687,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Withdrawn money,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Neither satisfied nor dissatisfied,,,,,,,,
60665278,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zampost", ,No,Yes,,,,,,Yes,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60665279,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite", ,Yes,Yes,,Yes,,,Yes,,,,"Sent money by SMS to another mobile number,Withdrawn money", ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,Satisfied,Satisfied,,Extremely satisfied,,,Extremely satisfied,,,
60665523,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Withdrawn money, ,, ,, ,, ,, ,, ,, ,, ,, ,,,Extremely satisfied,,,,,,,,
60666033,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60666528,Yes,Airtel (Airtel Money), ,No,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60666738,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60667009,Yes,None, ,,,,,,,,,,Yes,, ,, ,, ,, ,, ,, ,, ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,,,,,,,,,,,Satisfied
60667010,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
