SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60514735,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Sent money by SMS to another mobile number,Withdrawn money,Paid a bill", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Extremely satisfied,,,,,,,,,
60515239,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60515240,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money,Paid a bill,Recharged your airtime", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60515241,Yes,"Airtel (Airtel Money),Zamtel,Shoprite", ,Yes,,Yes,,,,Yes,,,,Sent money by SMS to another mobile number, ,, ,Sent money by SMS to another mobile number, ,, ,, ,, ,Sent money by SMS to another mobile number, ,, ,, ,, ,,Satisfied,,Satisfied,,,,Satisfied,,,
60515242,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60515243,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60515244,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60515245,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60515246,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60515247,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite,Zampost", ,Yes,Yes,,Yes,,,Yes,Yes,,,Sent money by SMS to another mobile number, ,Sent money by SMS to another mobile number, ,, ,Sent money by SMS to another mobile number, ,, ,, ,Sent money by SMS to another mobile number, ,Sent money by SMS to another mobile number, ,, ,, ,,Satisfied,Satisfied,,Dissatisfied,,,Satisfied,Satisfied,,
60515248,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money)", ,Yes,Yes,,,,,,,,,Sent money by SMS to another mobile number, ,Sent money by SMS to another mobile number, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,Satisfied,,,,,,,,
60515348,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite", ,Yes,Yes,,Yes,Yes,Yes,Yes,,,,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,"Recharged your airtime,Paid a bill,Withdrawn money", ,, ,Withdrawn money, ,, ,Withdrawn money, ,"Withdrawn money,Sent money to a bank account", ,, ,, ,, ,,Satisfied,Satisfied,,Satisfied,Satisfied,Satisfied,Extremely dissatisfied,,,
60515349,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Extremely dissatisfied
60515652,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60515653,No,, ,,,,,,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
