SbjNum,TOM - TV Spontaneous Awareness,Other Mentions - TV Spontaneous Awareness,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
82188824,"Africa Unite,Music,Prime Television", ,297,"Africa Unite,Music,Prime Television", , , , 
82188825,"Sony Max,SuperSport 3,SuperSport 4,SuperSport 5", ,297,SuperSport 3, , , , 
82190131,"TV 2,TV1", ,TV 3,TV 2, , , , 
82190818,"African Magic, Zambezi Magic,Bollywood,City Channel Cable Network TV,Disney Channel,Jim Jam,Nickelodeon,Zee World,TV 2,TV 3,TV1", ,"Africa Unite,African Movie Channel (AMC)","Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Bollywood,City Channel Cable Network TV,Disney Channel,Jim Jam,Nickelodeon,Zee World,TV 2,TV 3,TV1", , , , 
82191079,"SuperSport 1,SuperSport 3,Zee World,TV 2,TV1", ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,SuperSport 1,SuperSport 3,Zee World,TV 2,TV1", , , , 
82191562,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,BBC World News,Bollywood,E Africa,Emmanuel TV,Fox Crime,Jim Jam,Muvi TV,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,One Music,Parliament TV,Prime Television,Q TV,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,"African Magic, Zambezi Magic,Zee World", , , , 
82191573,"African Magic, Zambezi Magic,Disney XD,Emmanuel TV,Hope Channel,Zee World", ,"African Movie Channel (AMC),Nat Geo Gold,Nat Geo Wild,Nickelodeon,Zee Cinema,TV 2,TV 3,TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Disney XD,Emmanuel TV,Hope Channel,Nat Geo Wild,Nickelodeon,Zee World", , , , 
82192494,"Muvi TV,Prime Television,Zee World", ,"African Magic, Zambezi Magic,Al Jazeera,Amnet,Animal Planet,BBC World News,Bollywood,Cartoon network,Crime + Investigation,Discovery Channel,E Africa,E! Entertainment,Emmanuel TV,Fox Entertainment,Fox Movies,M-Net Movies Action,SuperSport 8,SuperSport 9,TV 2,TV1,Diamond,{0}","African Magic, Zambezi Magic,Emmanuel TV,Prime Television,Zee World,TV 2,TV1,{0}", , , , 
82192495,"Prime Television,TV 2,TV1,Diamond", ,"African Magic, Zambezi Magic,BBC World News,CBC TV,Emmanuel TV,SuperSport 1,Telemundo,Zee World","African Magic, Zambezi Magic,BBC World News,Emmanuel TV,Prime Television,SuperSport 1,TV 2,TV1,Diamond", , , , 
82192496,"Prime Television,TV 2,TV1", ,"African Magic, Zambezi Magic,CBC TV,E Africa,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,Diamond","SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,TV 2,TV1", , , , 
82194313,"African Magic, Zambezi Magic,E Africa,Eva English,Fox,Nat Geo Wild,Nickelodeon,Q TV,Sony Entertainment,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,Zee World, , , , 
82195184,"African Magic, Zambezi Magic,African Movie Channel (AMC),Emmanuel TV,Nickelodeon,SuperSport,SuperSport 1,SuperSport 3,Zee World", ,"Al Jazeera,BBC Brit,BBC Earth,BBC First,BBC Lifestyle,Zee Cinema","African Magic, Zambezi Magic,African Movie Channel (AMC),Emmanuel TV,SuperSport,Zee Cinema,Zee World", , , , 
82195764,"African Magic, Zambezi Magic,Emmanuel TV,M-Net Movies Zone,Nat Geo Wild,Zee World,TV 2,TV1", ,"Prime Television,QTV Zambia","African Magic, Zambezi Magic,Emmanuel TV,M-Net Movies Zone,Nat Geo Wild,Prime Television,QTV Zambia,Zee World,TV 2,TV1", , , , 
82197832,"TV 2,TV 3,TV1", ,Emmanuel TV,"Emmanuel TV,TV 2,TV1", , , , 
82198340,"African Magic, Zambezi Magic,CNN,Emmanuel TV,Jim Jam,Nat Geo Wild,Parliament TV,Prime Television,Q TV,Sony Max,SuperSport 1,SuperSport 2,Telemundo,Zee World,TV 2,TV1,Diamond", ,297,"African Magic, Zambezi Magic,Zee World", , , , 
82198882,"African Magic, Zambezi Magic,Emmanuel TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 8,SuperSport 9,SuperSport maximo,SuperSport Select", ,"African Movie Channel (AMC),SuperSport 7,Supersport Blitz,TV 2,TV 3,TV1","Emmanuel TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select", , , , 
82203329,"African Magic, Zambezi Magic,Disney Channel,Fox Movies +2,Iroko Play-African Movies,Jim Jam,Nickelodeon,Prime Television,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV1", ,"Hope Channel,Telemundo","African Magic, Zambezi Magic,Disney Channel,Fox Movies +2,Hope Channel,Iroko Play-African Movies,Jim Jam,Nickelodeon,Prime Television,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV1", , , , 
82203389,"Zee World,TV1", ,BBC World News,"BBC World News,Zee World,TV1", , , , 
82203700,"ABN TB,African Magic, Zambezi Magic,African Movie Channel (AMC),B4U Movies,BBC Earth,Emmanuel TV,M-Net,M-Net City,Nat Geo Gold,Nat Geo Wild,Q TV,Zee World,Diamond", ,"Al Jazeera,MTV,MTV Base,Zee Cinema","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Emmanuel TV,Nat Geo Wild,Q TV,Zee Cinema,Zee World,Diamond", , , , 
82204036,"North-Western TV,Prime Television", ,"M-Net Movies Family,M-Net Movies Zone,Nat Geo Wild,National Geographic Channel,QTV Zambia","M-Net Movies Family,M-Net Movies Zone,Nat Geo Wild,National Geographic Channel,North-Western TV,Prime Television,QTV Zambia", , , , 
82205274,"Al Jazeera,Bollywood,Muvi Novela,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 9,World Football,Zee Cinema,Zee World,TV 2,TV 3,TV1", ,"African Magic, Zambezi Magic,African Movie Channel (AMC),BBC World News","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,BBC World News,SuperSport 9,Zee Cinema,Zee World,TV 2,TV 3,TV1", , , , 
82205275,"African Magic, Zambezi Magic,Bollywood,E! Entertainment,Muvi TV,Prime Television", ,"BBC World News,City Channel Cable Network TV,Disney Channel,Zee Cinema,Zee World,TV 2,TV 3,TV1","Bollywood,Zee Cinema", , , , 
82205276,"African Magic, Zambezi Magic,Al Jazeera,Fox Movies,Fox Movies +2", ,Zee World,"African Magic, Zambezi Magic,Al Jazeera,Fox Movies,Fox Movies +2,Zee World", , , , 
82205277,SuperSport 4, ,BBC World News,SuperSport 4, , , , 
82205278,"African Magic, Zambezi Magic,B4U Movies,Disney Channel", ,"Nickelodeon,Prime Television,Telemundo,Zee World","African Magic, Zambezi Magic,Nickelodeon,Zee World", , , , 
82205279,"African Magic, Zambezi Magic,African Movie Channel (AMC),Nickelodeon", ,Telemundo,"African Magic, Zambezi Magic,Nickelodeon", , , , 
82205280,"African Magic, Zambezi Magic", ,"B4U Movies,Fox,Nickelodeon","African Magic, Zambezi Magic", , , , 
82205281,"Nickelodeon,Telemundo", ,"African Magic, Zambezi Magic,Diamond",Nickelodeon, , , , 
82209675,"Nat Geo Wild,Trace Urban", ,"SuperSport 3,SuperSport 5","SuperSport 3,Trace Urban", , , , 
82210551,"African Magic, Zambezi Magic,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Zee World,TV1", ,Africa Unite,"Africa Unite,African Magic, Zambezi Magic,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Zee World", , , , 
82210552,"Chipata,Zee World", ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Chipata,Zee World", , , , 
82210553,"Al Jazeera,Prime Television", ,Animal Planet,"Al Jazeera,Animal Planet,Prime Television", , , , 
82210554,"African Magic, Zambezi Magic,Don't know",Ended move zone,Prime Television,"African Magic, Zambezi Magic,Prime Television,Don't know", , , , 
82210555,Zee World, ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World", , , , 
82210557,"African Magic, Zambezi Magic,Don't know",hope channel,African Movie Channel (AMC),"African Magic, Zambezi Magic,African Movie Channel (AMC),Don't know", , , , 
82210558,"African Magic, Zambezi Magic,Prime Television", ,TV1,"African Magic, Zambezi Magic,Prime Television", , , , 
82210559,TV1, ,297,TV1, , , , 
82212291,"African Magic, Zambezi Magic,E Africa,E! Entertainment,M-Net Movies Zone,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,Telemundo,Zee World", ,"1 Music,ABN TB,African Movie Channel (AMC),Al Jazeera,Amnet,Animal Planet,BBC World News,Bollywood,CBC TV,Discovery Channel,Emmanuel TV,Nickelodeon,TV 2,TV1","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Discovery Channel,Emmanuel TV,Telemundo,Zee World,TV 2,TV1", , , , 
82212292,"African Magic, Zambezi Magic,Zee World", ,"TV 2,TV1","Zee World,TV 2,TV1", , , , 
82212475,"African Magic, Zambezi Magic,BBC World News,E Africa,North-Western TV,SuperSport 2,SuperSport 3,Zee World,TV 2,TV1", ,M-Net Movies Zone,"African Magic, Zambezi Magic,BBC World News,E Africa,M-Net Movies Zone,North-Western TV,SuperSport 2,SuperSport 3,Zee World,TV 2,TV1", , , , 
82213890,Don't know,Diamond,"African Magic, Zambezi Magic,Emmanuel TV,Others,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV1,294","African Magic, Zambezi Magic,Emmanuel TV,Prime Television,Q TV,QTV Zambia,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,Zee World,TV 2,TV1,Don't know,294", , , , 
82213891,"TV 2,TV1,None", ,297,"TV 2,TV1", , , , 
82213892,297, ,298,297, , , , 
82213893,"City Channel Cable Network TV,M-Net Movies Action,MTV Base,Prime Television,Q TV", ,Trace Muzik,"City Channel Cable Network TV,M-Net Movies Action,MTV Base,Prime Television,Q TV,Trace Muzik", , , , 
82213894,"Prime Television,SuperSport,Zee World", ,297,297, , , , 
82214286,297, ,298,297, , , , 
82225751,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,Channel O,Disney Channel,E! Entertainment,Emmanuel TV,Fox Sports", ,"Boomerang,City Channel Cable Network TV","African Magic, Zambezi Magic,Animal Planet,Emmanuel TV", , , , 
82256859,"Prime Television,Q TV,SuperSport Select", ,"African Magic, Zambezi Magic,Al Jazeera,Animal Planet,BBC World News,Bollywood,CNN,E Africa,Emmanuel TV,TV 2,TV1","African Magic, Zambezi Magic,Al Jazeera,Animal Planet,BBC World News,Bollywood,E Africa,Emmanuel TV,Prime Television,Q TV,SuperSport Select,TV 2,TV1", , , , 
82267136,"Al Jazeera,E Africa,M-Net Movies Zone,Nat Geo Wild,Nickelodeon,North-Western TV,Prime Television,Don't know",diamond,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Al Jazeera,E Africa,M-Net Movies Zone,Nat Geo Wild,Nickelodeon,North-Western TV,Prime Television,Zee World,Don't know", , , , 
82267632,"African Magic, Zambezi Magic,Animal Planet,B4U Movies,BBC World News,BET International,Channel O,Discovery Channel,Discovery Family,Ebony Life TV,Emmanuel TV,Fashion TV,Food Network,Fox,Fox Entertainment,M-Net,M-Net City,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars", ,{0},"B4U Movies,BBC World News,Discovery Channel,Discovery Family,Ebony Life TV,Emmanuel TV,Fashion TV,Food Network,M-Net,M-Net City,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars", , , , 
82267635,"Al Jazeera,Animal Planet,B4U Movies,BBC Lifestyle,BBC World News,Discovery Science,Disney Channel,Fox Sports,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Romance,Others", ,"African Magic, Zambezi Magic,African Movie Channel (AMC)","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,B4U Movies,BBC Lifestyle,BBC World News,Discovery Science,Disney Channel,Fox Sports,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Romance,{0}", , , , 
82268863,"SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Zee World", ,"QTV Zambia,TV 2,TV1","Telemundo,TV 2,TV1", , , , 
82268864,"Zee World,TV 2,TV 3,TV1", ,"African Magic, Zambezi Magic",TV1, , , , 
82269324,"African Magic, Zambezi Magic,Jim Jam,M-Net Movies Zone,Muvi TV,Nat Geo Wild,North-Western TV,QTV Zambia", ,"Zee World,TV 2,TV1","African Magic, Zambezi Magic,M-Net Movies Zone,Muvi TV,Nat Geo Wild,North-Western TV,Zee World,TV 2,TV1", , , , 
82270055,"TV 2,TV1", ,TV 3,"TV 2,TV1", , , , 
82271219,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,B4U Movies,BBC Lifestyle,BBC World News,BET,Bollywood,Boomerang,Cartoon network,CBC TV,Channel O,Classica,CNN,Discovery Channel,Discovery Family,Discovery Science,Disney Channel,E Africa,E! Entertainment,Emmanuel TV,Fashion One,Fashion TV,Food Network,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox News,ID Investigation Discovery,Ignition,Jim Jam,Mindset,M-Net,M-Net City,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Romance,M-Net Movies Stars,M-Net Movies Zone,MTV Base,Mzansi,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nick Jr,Nickelodeon,Q TV,Sony Max,SuperSport 3,SuperSport 5,SuperSport 7,SuperSport 8,Zee World,Others", ,Bakadoli,"African Magic, Zambezi Magic,Al Jazeera,Animal Planet,M-Net Movies Action,MTV Base,SuperSport 7", , , , 
82271462,"1 Music,African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC First,BBC Lifestyle,BBC World News,Bollywood,CNN,Discovery Channel,Discovery Family,E Africa,Emmanuel TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Inspiration TV,Lifetime,MTV Base,Muvi TV,Nat Geo Wild,Nick Jr,Nickelodeon,One Gospel,One Music,Parliament TV,Press Tv,Prime Television,Prism Africa,Q TV,QTV Zambia,Smash Hits,Smile of a Child,Sony Entertainment,Sony Max,Star Bollywood,Star KungFu 1,Star Novela E3,Star Series E1,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,StarTimes Soul,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 8,SuperSport 9,Telemundo,Times TV,TLC Entertainment,Trace Urban,Universal Channel,VH1 Classic,Viasat Crime,Viasat Explore,Viasat History,Viasat Nature,World Football,Zee Cinema,Zee World,TV 2,TV 3,TV1,Zuku Nolly,Zuku Novella,Zuku Sports,Zuku Zone,Diamond,Others", ,Eva English,"Eva English,MTV Base,Nickelodeon,Telemundo,Zee World", , , , 
82272682,"North-Western TV,TV 2,TV1", ,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,North-Western TV,Zee World,TV 2,TV1", , , , 
82272972,"TV 2,TV1", ,TV 3,TV 2, , , , 
82273216,"Africa Unite,African Magic, Zambezi Magic,Al Jazeera,Animal Planet,Animaux,B4U Movies,BBC Earth,BBC First,BBC Lifestyle,BBC World News,CCTV News,Channel O,Channel Ten,Citizen TV,CNN,E Africa,Ebony Life TV,Emmanuel TV,Eva English,Fox,Fox Crime,Jim Jam,Magic,MTV,MTV Base,Muvi TV,My TV,Mzansi,Nat Geo Wild,Nickelodeon,Parliament TV,Peace TV,Prime Television,Q TV,SABC,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 5,Telemundo,Zee World", ,297,"African Magic, Zambezi Magic,Emmanuel TV,Zee World", , , , 
82273475,TV1, ,TV 2,"TV 2,TV1", , , , 
82274452,"Africa Unite,African Magic, Zambezi Magic,Nat Geo Wild,Zee World", ,"African Movie Channel (AMC),BBC First,SuperSport,Zee Cinema","Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),BBC First,Nat Geo Wild,SuperSport,Zee Cinema,Zee World", , , , 
82274453,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Nickelodeon,Zee World,TV 2,TV 3,TV1", ,"1 Music,BBC World News,Bollywood,CBC TV,Discovery Channel,E! Entertainment,Emmanuel TV,Fox Sports,Jim Jam,MTV Base,Nat Geo Wild,SuperSport,Telemundo,World Football","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,SuperSport,Zee World,TV 2,TV 3,TV1", , , , 
