SbjNum,TOM - TV Spontaneous Awareness,Other Mentions - TV Spontaneous Awareness,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60635406,"Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select", ,Disney Channel,"Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select",SuperSport 9,"Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select","Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select","Disney Channel,Nickelodeon,SuperSport 9,Supersport Blitz,SuperSport Select"
60635488,"African Magic, Zambezi Magic,Sony Max,Telemundo,Zee World", ,"Al Jazeera,Animal Planet,B4U Movies,Bakadoli,BBC Brit,BBC Earth,BBC World News,BET,BET International,Bollywood,Cartoon network,CBC TV,CNN,Discovery Family,Discovery IDX,Disney Channel,E Africa,E! Entertainment,Ebony Life TV,Emmanuel TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Fox Sports,Fox Sports 2,France 24,Jim Jam,TV 2,TV 3,TV1","African Magic, Zambezi Magic,BBC World News,E Africa,E! Entertainment,Emmanuel TV,Telemundo,Zee World,TV 2,TV 3,TV1",TV 2,TV 2,"African Magic, Zambezi Magic,Emmanuel TV,Zee World,TV 2","African Magic, Zambezi Magic,BBC World News,E Africa,E! Entertainment,Emmanuel TV,Telemundo,Zee World,TV 2,TV 3,TV1"
60635490,"African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Nat Geo Wild,One Gospel,Zee World,TV 2,TV1", ,"SuperSport 4,SuperSport 7,SuperSport 8,SuperSport 9,TBN,Telemundo","African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Nat Geo Wild,One Gospel,SuperSport 4,SuperSport 7,SuperSport 8,SuperSport 9,TBN,Telemundo,Zee World,TV 2,TV1","Emmanuel TV,One Gospel,TV1","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,One Gospel,TV1","African Magic, Zambezi Magic,Emmanuel TV,Nat Geo Wild,One Gospel,TV1","African Magic, Zambezi Magic,Al Jazeera,Emmanuel TV,Nat Geo Wild,One Gospel,SuperSport 4,SuperSport 7,SuperSport 8,SuperSport 9,TBN,Telemundo,Zee World,TV 2,TV1"
60635491,"BBC World News,Emmanuel TV,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9", ,"African Magic, Zambezi Magic,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Telemundo,Zee World,TV 2,TV1","African Magic, Zambezi Magic,BBC World News,Emmanuel TV,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Zee World,TV 2,TV1","Emmanuel TV,TV1","African Magic, Zambezi Magic,SuperSport 1,SuperSport 2","African Magic, Zambezi Magic,BBC World News,Emmanuel TV,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Zee World,TV1","African Magic, Zambezi Magic,BBC World News,Emmanuel TV,Fox,Fox Entertainment,Fox Movies,Fox Movies +2,Iroko Play-African Movies,Iroko Plus-African Movies,One Gospel,Prime Television,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Telemundo,Zee World,TV 2,TV1"
60635719,"Al Jazeera,BBC World News,Cartoon network,Channel O,Disney Channel,Disney XD,E! Entertainment,Food Network", ,"BET,Fox Movies +2",Food Network,Food Network,Food Network,Food Network,Food Network
60635720,"African Magic, Zambezi Magic,B4U Movies,E Africa,M-Net Movies Zone,Nat Geo Wild,Nickelodeon,POP,Zee World", ,None,,,,,
60635721,"African Magic, Zambezi Magic,CBC TV,Discovery Channel,Disney XD,E Africa,Emmanuel TV,M-Net Movies Zone,MTV Base,Parliament TV,Prime Television,SuperSport 1,SuperSport 2,SuperSport 4,Telemundo,Zee World", ,"Africa Unite,Al Jazeera,B4U Movies,Cartoon network","E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Zee World",SuperSport 1,SuperSport 2,"E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Zee World","E Africa,Emmanuel TV,SuperSport 1,SuperSport 2,Zee World"
60635795,"Al Jazeera,BBC World News,CNN,Muvi TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,TV 2,TV1", ,"Amnet,E Africa,E! Entertainment","Al Jazeera,Amnet,BBC World News,CNN,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9","BBC World News,CNN,SuperSport 1","Amnet,Prime Television","Al Jazeera,Amnet,BBC World News,CNN,SuperSport 9","BBC World News,SuperSport 9"
60636154,"SuperSport 3,Telemundo,Zee World,TV 2,TV1,Others",Big brother naiji,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Disney Channel,Disney XD,E! Entertainment,Emmanuel TV,Jim Jam,MTV Base,Mzansi,National Geographic Channel","African Magic, Zambezi Magic,Al Jazeera,E! Entertainment,Emmanuel TV,MTV Base,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1,{0}","Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1,{0}","African Magic, Zambezi Magic,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1","African Magic, Zambezi Magic,Al Jazeera,E! Entertainment,Emmanuel TV,MTV Base,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1,{0}","African Magic, Zambezi Magic,Al Jazeera,E! Entertainment,Emmanuel TV,MTV Base,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1,{0}"
60636187,"Telemundo,Zee World", ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World",Zee World,Zee World,Zee World,Zee World
60636425,"Prime Television,Zee World,TV 2,TV1", ,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Animal Planet,Baby TV,Bollywood,CBC TV,Discovery Channel,E Africa,Emmanuel TV,E-Stars,Fox,Jim Jam,Nat Geo Gold,QTV Zambia","Baby TV,Jim Jam",Jim Jam,"Baby TV,Jim Jam","Baby TV,Jim Jam","Baby TV,Jim Jam"
60636972,None, ,None,,,,,
60637378,African Movie Channel (AMC), ,"Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World","Telemundo,Zee World"
60637568,Don't know, ,"African Magic, Zambezi Magic,Telemundo,Zee World,TV 2,TV 3,TV1","African Magic, Zambezi Magic,Telemundo,Zee World,TV 2,TV 3,TV1","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Telemundo,Zee World,TV 2,TV 3,TV1"
60637863,"African Magic, Zambezi Magic,BBC World News,CNN,Muvi TV,Nat Geo Wild,Nickelodeon,Trace Muzik,TV 2,Diamond", ,"Africa Unite,Al Jazeera,Amnet,Animal Planet,B4U Movies,BET,Cartoon network,Channel O,Disney XD,Football Tv,Fox Sports 2,Iroko Play-African Movies,ITV Choice,Jim Jam,Muvi Novela,Novela E1,One Gospel,SABC,Sky News,Sony Entertainment,Star Bollywood,Star Chinese 2,STN,STV Guide,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBC 1,Telemundo,Times TV,Trace Gospel,Trace Sports Stars,Trace Urban,Travel Channel,True Movies 1,TVC News,UBC,Viasat Crime,Viasat History,Vuzu,World Football,Zee Cinema,Zee World,Zing,TV 3,Zodiak TV,Zuku Movies Action,Zuku Sports,Zuku Zone","Al Jazeera,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 8,Zee World",SuperSport 2,"Al Jazeera,SuperSport 2","Al Jazeera,SuperSport 2,SuperSport 4","Al Jazeera,SuperSport 1,SuperSport 2,SuperSport 4,SuperSport 8,Zee World"
60638604,"1 Music,African Magic, Zambezi Magic,BBC World News,Telemundo,Zee World,TV 2", ,Prime Television,"1 Music,African Magic, Zambezi Magic,BBC World News,Prime Television,Telemundo,Zee World,TV 2","African Magic, Zambezi Magic,Zee World,TV 2","African Magic, Zambezi Magic,Telemundo,Zee World","African Magic, Zambezi Magic,Prime Television","1 Music,African Magic, Zambezi Magic,BBC World News,Prime Television,Telemundo,Zee World,TV 2"
60638856,"SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport Select", ,Startimes Sports 2,"SuperSport 3,SuperSport 9,Supersport Blitz",Supersport Blitz,"SuperSport 3,SuperSport 9,Supersport Blitz","SuperSport 3,SuperSport 9,Supersport Blitz","SuperSport 3,SuperSport 9,Supersport Blitz"
60639043,TV 2, ,Diamond,TV 2,TV 2,TV 2,TV 2,TV 2
60639044,"African Magic, Zambezi Magic,Zee World,Diamond", ,"Jim Jam,SuperSport Select","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
60639045,"African Magic, Zambezi Magic,Jim Jam,Zee World", ,1 Music,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World"
60639046,"African Magic, Zambezi Magic,Bollywood,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9", ,"Fox,Zee World",Bollywood,Bollywood,Bollywood,Bollywood,Bollywood
60639047,"African Magic, Zambezi Magic,Disney Channel", ,Al Jazeera,"African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic","African Magic, Zambezi Magic"
60639283,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Emmanuel TV,National Geographic Channel,QTV Zambia,Sony Max,Telemundo,Zee World", ,"African Movie Channel (AMC),Chipata,E! Entertainment,Mzansi,Nickelodeon,SuperSport 3,TV 2,TV1","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1","African Magic, Zambezi Magic,Emmanuel TV,National Geographic Channel,SuperSport 3,Zee World","Emmanuel TV,SuperSport 3,Telemundo,Zee World","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,National Geographic Channel,SuperSport 3,Telemundo,Zee World,TV 2,TV1"
60639386,"African Movie Channel (AMC),Emmanuel TV,SuperSport,Telemundo,Zee World,TV 2,TV 3,TV1", ,"African Magic, Zambezi Magic,Don't know","African Magic, Zambezi Magic,African Movie Channel (AMC),Emmanuel TV,SuperSport,Telemundo,Zee World,TV 2,TV 3,TV1",Zee World,"African Magic, Zambezi Magic,Emmanuel TV,Zee World,TV 2,TV 3,TV1","African Magic, Zambezi Magic,Emmanuel TV,Zee World,TV 2,TV 3,TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Emmanuel TV,SuperSport,Telemundo,Zee World,TV 2,TV 3,TV1"
60639916,"African Magic, Zambezi Magic,City Channel Cable Network TV,Prime Television,Zee World,Diamond", ,"Al Jazeera,AMC Series,B4U Movies,BBC World News,Bollywood,E Africa,EA TV,Emmanuel TV,Family TV,Fashion One,Fox,Muvi TV,My TV,Parliament TV,POP,QTV Zambia,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,TBC 1,TBN,Trace Gospel","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,Trace Gospel,Zee World","African Magic, Zambezi Magic,Emmanuel TV","African Magic, Zambezi Magic,Emmanuel TV","African Magic, Zambezi Magic,Emmanuel TV,Zee World","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,Trace Gospel,Zee World"
60640299,None, ,None,,,,,
60640300,"African Magic, Zambezi Magic,Al Jazeera,Animal Planet,BBC World News,Muvi TV,Prime Television,SuperSport 9,Supersport Blitz", ,None,,,,,
60640302,None, ,None,,,,,
60640303,None, ,None,,,,,
60640304,None, ,None,,,,,
60640305,None, ,None,,,,,
60640632,"African Magic, Zambezi Magic,Chipata,National Geographic Channel,Nickelodeon,SuperSport 3,Telemundo,Zee World,Diamond,Others",Big brother naiji,"BBC World News,Channel O,Disney XD,E! Entertainment,Emmanuel TV,M-Net Movies Zone,MTV Base,QTV Zambia","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,Nickelodeon,QTV Zambia,SuperSport 3,Telemundo,Zee World,Diamond,{0}","African Magic, Zambezi Magic,Emmanuel TV,Nickelodeon,SuperSport 3,Telemundo,Zee World,{0}","African Magic, Zambezi Magic,E! Entertainment,Emmanuel TV,SuperSport 3,Telemundo,Zee World,Diamond,{0}","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,Nickelodeon,QTV Zambia,SuperSport 3,Telemundo,Zee World,Diamond,{0}","African Magic, Zambezi Magic,BBC World News,E! Entertainment,Emmanuel TV,Nickelodeon,QTV Zambia,SuperSport 3,Telemundo,Zee World,Diamond,{0}"
60641373,"Boomerang,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,Prime Television,SuperSport 9,SuperSport Select,Zee World,TV 2,TV 3,TV1", ,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Channel O,E Africa,E! Entertainment,Emmanuel TV,Eva English","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Boomerang,Channel O,E Africa,E! Entertainment,Emmanuel TV,Eva English,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,Prime Television,SuperSport 9,SuperSport Select,Zee World,TV 2,TV 3,TV1","African Magic, Zambezi Magic,Zee World,TV1","African Magic, Zambezi Magic,Mzansi,One Gospel,Zee World,TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Boomerang,Channel O,E! Entertainment,Emmanuel TV,Eva English,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,Prime Television,SuperSport 9,SuperSport Select,Zee World,TV 2,TV 3,TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Bakadoli,BBC Brit,Boomerang,Channel O,E Africa,E! Entertainment,Emmanuel TV,Eva English,Mzansi,Nat Geo Wild,Nickelodeon,One Gospel,Prime Television,SuperSport 9,SuperSport Select,Zee World,TV 2,TV 3,TV1"
60641441,"Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),E Africa,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mzansi,Parliament TV,Prime Television,Q TV,Telemundo,Zee World,TV 2,TV1,Diamond", ,"ABN TB,Al Jazeera,AMC Series,Animal Planet,Baby TV,BBC World News,Bollywood,Cartoon network,CBC TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel O,CNBC,CNN,Comedy Central,Discovery Channel,Disney Channel,Disney XD,E! Entertainment,EA TV,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox Movies +2,Fox News,Hope Channel,Hossana Tv,Jim Jam,Life TV,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Comedy,Mobi Tv,MTV,MTV Base,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,One Gospel,Peace TV,Peoples Weather,Prism Africa,QTV Zambia,SuperSport 1,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Urban,TV 3","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Animal Planet,Baby TV,BBC World News,Bollywood,Cartoon network,CBC TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel O,CNBC,CNN,Comedy Central,Discovery Channel,Disney Channel,Disney XD,E Africa,E! Entertainment,EA TV,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox News,Hope Channel,Hossana Tv,Jim Jam,Life TV,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Mzansi,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,One Gospel,Parliament TV,Peace TV,Peoples Weather,Prime Television,Prism Africa,Q TV,QTV Zambia,SuperSport 1,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN,Telemundo,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Urban,Zee World,TV 2,TV 3,TV1,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),M-Net Movies Zone,Prime Television,Zee World","Africa Unite,African Magic, Zambezi Magic,M-Net Movies Zone,Mzansi,Prime Television,SuperSport 3,Telemundo,Zee World,TV 2,TV1","Africa Unite,African Magic, Zambezi Magic,M-Net Movies Zone,Mzansi,Prime Television,SuperSport 3,Telemundo,Zee World,TV 2,TV1","ABN TB,Africa Unite,African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,AMC Series,Animal Planet,Baby TV,BBC World News,Bollywood,Cartoon network,CBC TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Channel O,CNBC,CNN,Comedy Central,Discovery Channel,Disney Channel,Disney XD,E Africa,E! Entertainment,EA TV,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Fox Movies,Fox News,Hope Channel,Hossana Tv,Jim Jam,Life TV,M-Net,M-Net City,M-Net Edge,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Mobi Tv,MTV,MTV Base,Mzansi,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,One Gospel,Parliament TV,Peace TV,Peoples Weather,Prime Television,Prism Africa,Q TV,QTV Zambia,SuperSport 1,SuperSport 3,SuperSport 4,SuperSport 6,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select,TBN,Telemundo,TLC Entertainment,Trace Gospel,Trace Muzik,Trace Urban,Zee World,TV 2,TV 3,TV1,Diamond"
60641442,"African Magic, Zambezi Magic,African Movie Channel (AMC),Channel O,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,Trace Gospel,Trace Muzik", ,"Al Jazeera,Animal Planet,BBC World News,Bollywood,Boomerang,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,EA TV,Emmanuel TV,Fashion TV,Food Network,Fox Movies,Fox Movies +2,Hope Channel,Jim Jam,M-Net Movies Action,M-Net Movies Family,Muvi TV,One Gospel,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 9,SuperSport Select,TBN,Telemundo,Zee World,TV 2,TV 3,TV1,Diamond","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,BBC World News,Bollywood,Boomerang,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,EA TV,Emmanuel TV,Fashion TV,Food Network,Fox Movies,Fox Movies +2,Hope Channel,Jim Jam,M-Net Movies Action,M-Net Movies Family,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,One Gospel,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 9,SuperSport Select,TBN,Telemundo,Trace Gospel,Trace Muzik,Zee World,TV 2,TV 3,TV1,Diamond",Trace Muzik,"M-Net Movies Zone,Trace Muzik,TV 2,TV1","M-Net Movies Action,M-Net Movies Zone,Trace Muzik,TV 2,TV1","African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,BBC World News,Bollywood,Boomerang,Channel O,Discovery Channel,Discovery Family,Disney Channel,E Africa,E! Entertainment,EA TV,Emmanuel TV,Fashion TV,Food Network,Fox Movies,Fox Movies +2,Hope Channel,Jim Jam,M-Net Movies Action,M-Net Movies Family,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,Muvi TV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,One Gospel,Prime Television,Q TV,SuperSport 2,SuperSport 3,SuperSport 9,SuperSport Select,TBN,Telemundo,Trace Gospel,Trace Muzik,Zee World,TV 2,TV 3,TV1,Diamond"
60641531,None, ,"Muvi TV,Telemundo,Zee World,TV1",,,,,
60641532,"Zee World,TV1", ,"Al Jazeera,Emmanuel TV,Hope Channel,Jim Jam,Muvi TV,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,TBN,Telemundo,TV 2,TV 3","Al Jazeera,Emmanuel TV,Hope Channel,Jim Jam,Muvi TV,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,TBN,Telemundo,Zee World,TV 2,TV 3,TV1",TV 2,TV 2,"Hope Channel,SuperSport Select,TV 2,TV1","Al Jazeera,Emmanuel TV,Hope Channel,Jim Jam,Muvi TV,Parliament TV,Prime Television,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,TBN,Telemundo,Zee World,TV 2,TV 3,TV1"
60641533,"BBC World News,CNN,Prime Television,TBN,TV 2,TV 3,TV1,Diamond", ,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,Animal Planet,Baby TV,E Africa,Emmanuel TV,Family TV,Fox Entertainment,France 24,Star KungFu 1,Star Movies 1,Star Novela E1,Star Zone- movies,StarTimes Bollywood HD,StarTimes Dadin Kowa,StarTimes Gospel,StarTimes Music,Startimes Sports 2,Telemundo,Zee World","Al Jazeera,BBC World News,Emmanuel TV,France 24,TV1,Diamond",TV1,TV1,"Al Jazeera,BBC World News,Emmanuel TV,France 24,TV1,Diamond","Al Jazeera,BBC World News,Emmanuel TV,France 24,TV1,Diamond"
60641534,"Disney Channel,Emmanuel TV,SuperSport,SuperSport Select,TBN,TV 2,TV 3,TV1,Diamond", ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,Emmanuel TV,SuperSport,TV1,Diamond",TV1,"African Magic, Zambezi Magic,TV1","African Magic, Zambezi Magic,TV1","African Magic, Zambezi Magic,TV1"
60641535,"African Magic, Zambezi Magic,BBC World News,Telemundo,Zee World", ,"1 Music,BET,Channel O,TV 2,TV 3,TV1","1 Music,African Magic, Zambezi Magic,BBC World News,BET,Channel O,Telemundo,Zee World,TV 2,TV 3,TV1",TV1,TV1,"African Magic, Zambezi Magic,Telemundo,Zee World,TV1","1 Music,African Magic, Zambezi Magic,Telemundo,Zee World,TV1"
60641536,TV1, ,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,Emmanuel TV,Muvi TV,SuperSport,SuperSport 1,SuperSport 2,Telemundo,Zee World,TV 2","African Magic, Zambezi Magic,SuperSport,SuperSport 1,Zee World,TV1",TV1,"SuperSport,TV1","African Magic, Zambezi Magic,SuperSport,TV1","African Magic, Zambezi Magic,SuperSport,SuperSport 1,Zee World,TV1"
60641537,"E Africa,M-Net Movies Zone,MTV,Mzansi,Sony Max,SuperSport,Telemundo,TV 2,TV 3,TV1", ,"African Magic, Zambezi Magic,African Movie Channel (AMC),Al Jazeera,B4U Movies,BBC Earth,Channel O,Discovery Channel,Discovery Family,Discovery Science,Disney Channel,Emmanuel TV,Fox Movies,France 24,M-Net,M-Net Movies Action,MTV Base,One Gospel,One Music,Q TV,QTV Zambia,SABC,Sony Entertainment,Star KungFu 1,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport Select,TBC 1,TBN,Trace Gospel,Trace Sports Stars,Trace Urban,Travel Channel,True Movies 1,Zuku Entertainment,Zuku Kids,Zuku Life,Diamond","African Magic, Zambezi Magic,Al Jazeera,B4U Movies,BBC Earth,Channel O,Emmanuel TV,Fox Movies,France 24,M-Net Movies Zone,MTV Base,One Gospel,Q TV,QTV Zambia,Sony Max,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport Select,Telemundo,Trace Gospel,Trace Urban",SuperSport Select,"African Magic, Zambezi Magic,Channel O,M-Net Movies Zone,SuperSport Select,Trace Urban","African Magic, Zambezi Magic,Channel O,Fox Movies,M-Net Movies Zone,MTV Base,SuperSport Select,Trace Urban","African Magic, Zambezi Magic,Channel O,Fox Movies,M-Net Movies Zone,MTV Base,One Gospel,Sony Max,SuperSport Select,Trace Urban"
60641739,"M-Net Movies Zone,Sony Max,Zee World", ,"African Magic, Zambezi Magic","African Magic, Zambezi Magic,M-Net Movies Zone,Sony Max,Zee World",Zee World,"African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,Zee World","African Magic, Zambezi Magic,M-Net Movies Zone,Sony Max,Zee World"
60642157,"African Magic, Zambezi Magic,Amnet,M-Net City,M-Net Movies Action,Telemundo,Zee World", ,"M-Net Movies Zone,Sony Entertainment,Sony Max,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz,SuperSport maximo,SuperSport Select","African Magic, Zambezi Magic,M-Net Movies Action,SuperSport 9,Telemundo,Zee World",Zee World,"African Magic, Zambezi Magic,M-Net Movies Action,SuperSport 9,Telemundo,Zee World","African Magic, Zambezi Magic,M-Net Movies Action,SuperSport 9,Telemundo,Zee World","African Magic, Zambezi Magic,M-Net Movies Action,SuperSport 9,Telemundo,Zee World"
60642331,"SuperSport,SuperSport 2,SuperSport 4,SuperSport 8,Telemundo,Zee World", ,"ABN TB,African Magic, Zambezi Magic,Al Jazeera,Animal Planet,BBC Lifestyle,BET","SuperSport,SuperSport 2,SuperSport 4,Telemundo",SuperSport,SuperSport 4,Telemundo,SuperSport
