SbjNum,TV Prompted Awareness,Ever Watched TV Channels,TV Watched (Yesterday),TV Watched (P7D - Past 7 Days),TV Watched (P4W) - Past 4 Weeks,TV Watched (P12M) - Past 12 Months
60513115,"African Magic, Zambezi Magic,Parliament TV,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 4,SuperSport 5,SuperSport 6,SuperSport 7,SuperSport 8,SuperSport 9,Supersport Blitz","Muvi TV,Parliament TV,Q TV,ZNBC TV1",ZNBC TV1,ZNBC TV1,ZNBC TV1,ZNBC TV1
60514495,"African Magic, Zambezi Magic,Animal Planet,BBC World News,CNN,Discovery Channel,Discovery Family,Family TV,Fashion TV,Fox,Fox Entertainment,Fox Movies,Fox Sports,Fox Sports 2,Gospel Music TV,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Comedy,M-Net Movies Family,M-Net Movies Premier,M-Net Movies Romance,M-Net Movies Showcase,M-Net Movies Stars,M-Net Movies Zone,MTV Base,Muvi TV,Nat Geo Gold,Nat Geo Wild,National Geographic Channel,North-Western TV,Sony Max,SuperSport 5,SuperSport 6,Trace Gospel,Trace Urban","African Magic, Zambezi Magic,Animal Planet,BBC World News,CNN,Discovery Channel,Discovery Family,E Africa,Emmanuel TV,Family TV,Fashion TV,Fox,Fox Entertainment,Fox Movies,Fox Sports,Gospel Music TV,M-Net,M-Net Movies Action,M-Net Movies Comedy,M-Net Movies Zone,MTV Base,Muvi TV,Nat Geo Wild,National Geographic Channel,North-Western TV,Prime Television,QTV Zambia,Sony Max,SuperSport 2,SuperSport 3,SuperSport 9,Supersport Blitz,TBN,Trace Gospel,Trace Urban,Zee World,ZNBC TV2,ZNBC TV1,Diamond","Prime Television,SuperSport 3,ZNBC TV1,Diamond","African Magic, Zambezi Magic,BBC World News,CNN,Muvi TV,Prime Television,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,CNN,Muvi TV,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Animal Planet,BBC World News,CNN,Nat Geo Wild,Prime Television,SuperSport 3,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond"
60514496,"Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Telemundo,Zee World,ZNBC TV1","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV1","African Magic, Zambezi Magic,Bollywood,Emmanuel TV,M-Net,Muvi TV,SuperSport,Telemundo,Zee World,ZNBC TV2,ZNBC TV1"
60514497,"1 Music,Bloomberg,Bostv,Fox,Fox Movies,Nat Geo Gold,Nat Geo Wild,Nickelodeon,Prime Television","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","Fox,SuperSport 4","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Bollywood,Discovery Channel,Discovery Family,Fox,Nat Geo Gold,Nat Geo Wild,SuperSport 4,SuperSport 9,ZNBC TV2,ZNBC TV1,Diamond"
60514498,"African Magic, Zambezi Magic,Al Jazeera,BBC World News,BET,Cartoon network,Channel O,E Africa,E! Entertainment,Emmanuel TV,Fashion TV,Football Tv,Fox,Fox Crime,Fox Entertainment,Gospel Music TV,KTN News,Life TV,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Romance,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,Nickelodeon,Parliament TV,Peoples Weather,Q TV,Sky News,Sony Entertainment,Sony Max,Star Plus,SuperSport,SuperSport 1,SuperSport 2,SuperSport 3,SuperSport 9,TBN,Telemundo,TLC Entertainment,Trace Urban,True Movies 1,Universal Channel,Zuku Entertainment,Zuku Swahili Movies,Diamond","African Magic, Zambezi Magic,Al Jazeera,BBC World News,Cartoon network,Channel O,E Africa,E! Entertainment,Emmanuel TV,Fashion TV,Fox,Fox Crime,Fox Entertainment,Gospel Music TV,Life TV,M-Net,M-Net Movies Action,M-Net Movies Action +,M-Net Movies Romance,MTV,MTV Base,Nat Geo Wild,National Geographic Channel,Nickelodeon,North-Western TV,Parliament TV,Peoples Weather,Sony Max,Star Plus,TBN,Telemundo,Trace Urban,True Movies 1,Universal Channel,ZNBC TV2,ZNBC TV1,Diamond","Fox,Nat Geo Wild,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,E! Entertainment,Emmanuel TV,M-Net Movies Action,M-Net Movies Action +,Nat Geo Wild,Sony Max,Telemundo,Trace Urban,Universal Channel,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,E Africa,E! Entertainment,Emmanuel TV,Fox,Fox Crime,M-Net Movies Action,M-Net Movies Action +,Nat Geo Wild,Sony Max,Telemundo,Trace Urban,Universal Channel,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Al Jazeera,Channel O,E Africa,E! Entertainment,M-Net,M-Net Movies Action,Nat Geo Wild,National Geographic Channel,Telemundo,ZNBC TV2,ZNBC TV1,Diamond"
60514499,"Discovery Channel,Discovery Family,Telemundo,Zee World,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,BBC World News,Channel O,Discovery Family,Disney XD,E! Entertainment,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","BBC World News,Telemundo,ZNBC TV1","African Magic, Zambezi Magic,Channel O,Disney XD,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,Channel O,Disney XD,E! Entertainment,Telemundo,ZNBC TV2,ZNBC TV1,Diamond","African Magic, Zambezi Magic,BBC World News,Channel O,Discovery Family,Disney XD,E! Entertainment,Telemundo,ZNBC TV2,ZNBC TV1,Diamond"
60514730,"AMC Series,AMC USA,B4U Movies,Baby TV,BBC Brit,BET International,Beta TV,Box,Capital TV,CCTV 9 Documentary,CCTV News,CCTV-4 (Chinese),Citizen TV,Discovery Channel,E! Entertainment,Family TV,Fox,Fox Crime,Fox Entertainment,Star Novela E1,SuperSport 1,SuperSport 2,SuperSport 4,Trace Muzik,Zuku Entertainment,Zuku Kids,Zuku Life,Zuku Movies Action,Zuku Movies Family,Zuku Movies Max,Zuku Nolly,Zuku Novella,Zuku Sports,Zuku Swahili Movies,Zuku Zone","African Movie Channel (AMC),E-Stars,Zuku Novella",Zuku Novella,"African Movie Channel (AMC),E-Stars,Zuku Novella","African Movie Channel (AMC),E-Stars,Zuku Novella",Zuku Novella
60514731,"BBC Brit,Boomerang,E! Entertainment,M-Net Movies Zone,SuperSport 1,SuperSport 2,SuperSport 3,Zee Cinema","African Magic, Zambezi Magic,E! Entertainment,Zee World",Zee World,"African Magic, Zambezi Magic","African Magic, Zambezi Magic",E! Entertainment
60514732,"African Movie Channel (AMC),Al Jazeera,Boomerang,Cartoon network,CNN,E! Entertainment,Emmanuel TV,ESPN,E-Stars,Euro News (English),Euro Sport News,Family TV,Fine Living Network,Food Network,M-Net Movies Action +,MTV Base","African Magic, Zambezi Magic,Al Jazeera,Boomerang,Emmanuel TV,Nickelodeon,Zee World",Zee World,Emmanuel TV,"African Magic, Zambezi Magic",Boomerang
60514733,"Boomerang,Cartoon network,E! Entertainment,Emmanuel TV,Fox Entertainment,M-Net Movies Zone,SuperSport 9","Boomerang,E! Entertainment,SuperSport 9,Telemundo,Zee World",Zee World,SuperSport 9,Boomerang,Telemundo
