SbjNum,Internet Service providers P4W,Main Internet Service providers/download P4W,Bought Digital Content using your Mobile Device,Service Providers - Bought Digital Content using your Mobile Device,Service Providers - Will Consider to Buy Digital Content using Mobile Device,Overall Best Service provider of Digital Content for your mobile device,Airtel,MTN,Vodafone,Zamtel,{0}
60534385,Airtel,Airtel,No,,"Google: Google Play Store,Zamtel Games Club,",Google: Google Play Store,Otherplease specify,,,,
60534386,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Ease of payment,,,,
60534387,,,,,,,,,,,
60534388,,,,,,,,,,,
60534661,,,,,,,,,,,
60535857,MTN,MTN,Yes,Don’t know / unsure,eBay,eBay,,Easy to download,,,
60536494,,,No,,Don’t know / unsure,,,,,,
60536495,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Widest range of content,,,,
60536496,,,,,,,,,,,
60536662,Zamtel,Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,Ease of payment,
60536769,Airtel,Airtel,Yes,Airtel Live,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60536770,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,Airtel Live,Airtel Live,Best value,Widest range of content,,,
60536771,Airtel,Airtel,Yes,Google: Google Play Store,Airtel Live,Airtel Live,Easy to download,,,,
60536801,MTN,MTN,Yes,Google: Google Play Store,Don’t know / unsure,,,Ease of payment,,,
60537539,MTN,MTN,Unsure / Don’t know,,"Google: Google Play Store,MTN: MTN Play,",Google: Google Play Store,,Widest range of content,,,
60537556,Airtel,Airtel,Yes,Google: Google Play Store,Airtel Live,Airtel Live,Best value,,,,
60537877,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60538019,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60538184,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Ease of use,,,
60538612,,,,,,,,,,,
60538849,,,,,,,,,,,
60539863,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60540117,,,No,,Don’t know / unsure,,,,,,
60540118,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
