SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60514496,,,"Beats,FCC Solwezi,Radio 1,Radio 2,Radio Christian Voice, New Generation,Parliament,","Beats,FCC Solwezi,Radio 1,Radio 2,Radio Christian Voice, New Generation,Parliament,","FCC Solwezi,Radio 2,Radio Christian Voice",Radio Christian Voice,"FCC Solwezi,Radio 2,Radio Christian Voice","FCC Solwezi,Radio 2,Radio Christian Voice","FCC Solwezi,Radio 2,Radio Christian Voice"
60514497,,,"FCC Solwezi,New Generation, Beats,","FCC Solwezi,New Generation, Beats,",FCC Solwezi,,FCC Solwezi,FCC Solwezi,FCC Solwezi
60514498,,,"FCC Solwezi,New Generation,Radio 1,Radio 2, Beats,","FCC Solwezi,New Generation,Radio 1,Radio 2, Beats,","Beats,FCC Solwezi,New Generation,Radio 1,Radio 2",Radio 1,"Beats,FCC Solwezi,New Generation,Radio 1,Radio 1","Beats,FCC Solwezi,New Generation,Radio 1,Radio 1","Beats,FCC Solwezi,New Generation,Radio 1,Radio 2"
60514499,,,"Beats,FCC Solwezi,New Generation,Parliament,Radio 1,Radio 2, Kabangabanga,","Beats,FCC Solwezi,New Generation,Parliament,Radio 1,Radio 2, Kabangabanga,","Beats,FCC Solwezi,New Generation",,"FCC Solwezi,New Generation","FCC Solwezi,New Generation","FCC Solwezi,New Generation"
60514730,,,"Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Radio 1,","Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Radio 1,","Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice",,Phoenix,Radio 1,"Radio 4,Radio Christian Voice"
60514731,,,"KNC,Phoenix,Q FM, 5FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,Phoenix,Q FM, 5FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,nan,,Radio Christian Voice
60514732,,,"KNC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4, 5FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","KNC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4, 5FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","KNC,Phoenix,Radio 1,Radio Christian Voice,",,KNC,"KNC,Phoenix",Radio Christian Voice
60514733,,,"5FM,Phoenix,Q FM,Radio 1,Radio 4, KNC,Joy,Mkushi FM, Money FM,Power,Radio 2,Radio Christian Voice,","5FM,Phoenix,Q FM,Radio 1,Radio 4, KNC,Joy,Mkushi FM, Money FM,Power,Radio 2,Radio Christian Voice,","Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice",Radio 1,Radio 1,Phoenix,Radio Christian Voice
60514734,,,"Phoenix,Radio 1,Radio 2,Radio 4, 5FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","Phoenix,Radio 1,Radio 2,Radio 4, 5FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","Phoenix,Radio 1,",Radio 1,Phoenix,Radio 1,Radio 1
60514735,,,"KNC,5FM,Maranatha,Phoenix,Radio 1,Radio 2,Radio 4, BBC,Joy,Mkushi FM, Money FM,Power,Q FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","KNC,5FM,Maranatha,Phoenix,Radio 1,Radio 2,Radio 4, BBC,Joy,Mkushi FM, Money FM,Power,Q FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","KNC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,",Phoenix,KNC,Radio 1,Q FM
60515239,,,"Mkushi FM, Money FM, KNC,Radio 2,Radio 4,","Mkushi FM, Money FM, KNC,Radio 2,Radio 4,","KNC,Mkushi FM, Money FM,",KNC,"KNC,Mkushi FM,Money FM","KNC,Mkushi FM, Money FM","KNC,Mkushi FM, Money FM"
60515240,,,"Mkushi FM, Money FM, KNC,BBC,Radio 1,Radio 2,","Mkushi FM, Money FM, KNC,BBC,Radio 1,Radio 2,","KNC,Mkushi FM, Money FM,",,nan,,"KNC,Mkushi FM, Money FM"
60515241,,,"KNC,Mkushi FM, Money FM, Radio 2,Radio 4,","KNC,Mkushi FM, Money FM, Radio 2,Radio 4,","KNC,Mkushi FM, Money FM,Radio 2",,"Mkushi FM,Money FM,Radio 1","Mkushi FM, Money FM,Radio 1","Mkushi FM, Money FM,Radio 2"
60515242,,,"KNC,Mkushi FM, Money FM,Radio 1, Blue Sky FM,Itezhi tezhi,Joy,Phoenix,Radio 2,Radio 4,Radio Christian Voice,","KNC,Mkushi FM, Money FM,Radio 1, Blue Sky FM,Itezhi tezhi,Joy,Phoenix,Radio 2,Radio 4,Radio Christian Voice,","Mkushi FM, Money FM",,"Mkushi FM,Money FM","Mkushi FM, Money FM","Mkushi FM, Money FM"
60515243,,,"KNC,Mkushi FM, Money FM,Phoenix,Radio 2,Radio Christian Voice, BBC,Itezhi tezhi,Radio 1,Radio 4,","KNC,Mkushi FM, Money FM,Phoenix,Radio 2,Radio Christian Voice, BBC,Itezhi tezhi,Radio 1,Radio 4,","Radio 1,Radio 2,Radio Christian Voice",,Radio Christian Voice,"Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice"
60515244,,,"Mkushi FM, Money FM, KNC,BBC,Blue Sky FM,Radio 2,Radio Christian Voice,","Mkushi FM, Money FM, KNC,BBC,Blue Sky FM,Radio 2,Radio Christian Voice,","KNC,Mkushi FM, Money FM,Radio 2",,"Mkushi FM,Money FM","Mkushi FM, Money FM,Radio 1","Mkushi FM, Money FM,Radio 2"
60515245,,,"Mkushi FM, Money FM, KNC,BBC,Radio 1,Radio 2,Radio 4,","Mkushi FM, Money FM, KNC,BBC,Radio 1,Radio 2,Radio 4,","KNC,Mkushi FM, Money FM,",,nan,KNC,"KNC,Mkushi FM, Money FM"
60515246,,,"KNC,Mkushi FM, Money FM,Radio 1, Radio 2,","KNC,Mkushi FM, Money FM,Radio 1, Radio 2,","KNC,Mkushi FM, Money FM,Radio 1,Radio 2,",Radio 1,"KNC,Radio 1",Radio 1,"Mkushi FM, Money FM"
60515247,,,"KNC,Mkushi FM, Money FM, Radio 1,Radio 2,","KNC,Mkushi FM, Money FM, Radio 1,Radio 2,","KNC,Mkushi FM, Money FM,Radio 1,Radio 2,","KNC,Mkushi FM, Money FM","Mkushi FM,Money FM","Radio 1,Radio 1","KNC,Mkushi FM, Money FM,Radio 1,Radio 2"
60515248,,,"KNC,Mkushi FM, Money FM,Radio 2, Radio 1,","KNC,Mkushi FM, Money FM,Radio 2, Radio 1,","KNC,Mkushi FM, Money FM,Radio 1,Radio 2,","KNC,Mkushi FM, Money FM","KNC,Mkushi FM,Money FM,Radio 1,Radio 1","KNC,Mkushi FM, Money FM,Radio 1,Radio 1","KNC,Mkushi FM, Money FM,Radio 1,Radio 2"
60515348,,,"BBC,Hot,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Roots,Yatsani, Yangeni FM, 5FM,Ama,Radio Christian Voice,Comet 10,Evelyn, Hone,Joy,Pan African,Parliament,Rock FM,UNZA Radio,Radio 1,Radio 2,Radio 4,","BBC,Hot,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Roots,Yatsani, Yangeni FM, 5FM,Ama,Radio Christian Voice,Comet 10,Evelyn, Hone,Joy,Pan African,Parliament,Rock FM,UNZA Radio,Radio 1,Radio 2,Radio 4,","5FM,Ama,BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,",Hot,Hot,"Hot,Komboni Radio","Hot,Komboni Radio,Q FM,Rock FM"
60515349,,,"Komboni Radio,Phoenix, BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Kafue,Metro FM,Millennium,Modern voice,One Love,Pan African,Parliament,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,Radio 1,","Komboni Radio,Phoenix, BBC,Radio Christian Voice,Comet 10,Evelyn, Hone,Hot,Joy,Kafue,Metro FM,Millennium,Modern voice,One Love,Pan African,Parliament,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,Radio 1,","Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,One Love,Radio 4,",Komboni Radio,Komboni Radio,Komboni Radio,"Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,One Love,Radio 4"
60515652,,,"Radio 1,Radio 2, Phoenix,Radio 1,Radio 2,","Radio 1,Radio 2, Phoenix,Radio 1,Radio 2,","Phoenix,Radio 1,Radio 2",Radio 1,"Phoenix,Radio 1","Phoenix,Radio 1,Radio 1","Phoenix,Radio 1,Radio 2"
60515653,,,"Phoenix,Radio 1,Radio 4, 5FM,BBC,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Phoenix,Radio 1,Radio 4, 5FM,BBC,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Phoenix,Radio 1,Radio 2,Radio 4,","Radio 1,Radio 3","Phoenix,Radio 1,Radio 3","Phoenix,Radio 1,Radio 2,Radio 3","Phoenix,Radio 1,Radio 2,Radio 4"
