SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60755602,,,"KNC,Maranatha,Power,Cloud FM,Phoenix,Q FM,Radio 1,Radio 4,","KNC,Maranatha,Power,Cloud FM,Phoenix,Q FM,Radio 1,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4,,","KNC,Power","KNC,Power","Phoenix,Q FM,Radio 1","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4,"
60755603,,,"KNC,Maranatha,Power,Cloud FM,BBC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,Maranatha,Power,Cloud FM,BBC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,BBC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,Power,Radio 3","Power,Radio 3","KNC,Power,Radio 4,","KNC,BBC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,"
60757629,,,"Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Kabangabanga,New Generation","Kabangabanga,New Generation,Parliament","Beats,Kabangabanga,New Generation,Parliament,Radio 4,Radio Christian Voice","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60757630,,,"Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice, BBC,","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice, BBC,","BBC,Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,nan,"Kabangabanga,New Generation","BBC,Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60757631,,,"FCC Solwezi,Kabangabanga,New Generation, Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation, Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,","FCC Solwezi,Radio 1","FCC Solwezi,Radio 1","FCC Solwezi,Radio 1","FCC Solwezi,Radio 2"
60757632,,,"FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4, Beats,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4, Beats,Radio Christian Voice,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"Kabangabanga,Radio 1,Radio 1","Kabangabanga,Radio 1,Radio 1","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60757633,,,"Kabangabanga,Parliament,Radio 1,Radio 2,Radio 4, Beats,FCC Solwezi,New Generation,Radio Christian Voice,","Kabangabanga,Parliament,Radio 1,Radio 2,Radio 4, Beats,FCC Solwezi,New Generation,Radio Christian Voice,","Parliament,Radio 1,Radio 2",,nan,Radio 1,"Parliament,Radio 1,Radio 2"
60757635,,,"FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Kabangabanga,Radio 1","FCC Solwezi,Kabangabanga,Radio 2,Radio Christian Voice","Kabangabanga,New Generation,Radio 1,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60757636,,,"FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Beats,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Beats,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Radio 4,"Kabangabanga,Radio 3","Kabangabanga,New Generation,Radio 3","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60757637,,,"Kabangabanga, FCC Solwezi,New Generation,Radio 1,Radio 2,Radio 4,","Kabangabanga, FCC Solwezi,New Generation,Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,",Radio 2,Radio 1,"FCC Solwezi,Kabangabanga,New Generation,Radio 1","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4"
60760177,,,"PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Breeze,Feel Free,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"PASME,Petauke Explorers,Radio 1","Maria,PASME,Petauke Explorers,Radio 1","Breeze,Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60760178,,,"Maria,PASME,Petauke Explorers,Radio 1, BBC,Breeze,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,","Maria,PASME,Petauke Explorers,Radio 1, BBC,Breeze,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,",,"Petauke Explorers,Radio 1","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 3","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60760179,,,"BBC,Breeze,Feel Free,Radio 1,Radio Christian Voice, Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 2,Radio 4,Valley,","BBC,Breeze,Feel Free,Radio 1,Radio Christian Voice, Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 2,Radio 4,Valley,","BBC,Breeze,Feel Free,Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,Radio Christian Voice",,nan,"Breeze,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 1","BBC,Breeze,Feel Free,Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60762545,,,"Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM, 5FM,BBC,Radio Christian Voice,Millennium,","Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM, 5FM,BBC,Radio Christian Voice,Millennium,","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,",,"Komboni Radio,Q FM","5FM,Evelyn, Hone,Hot,Komboni Radio,Q FM","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM"
60762546,,,"Radio Christian Voice, 5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,UNZA Radio,","Radio Christian Voice, 5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,UNZA Radio,","5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,Radio Christian Voice,UNZA Radio,",,Radio Christian Voice,"Komboni Radio,Q FM,Radio 1","5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,Radio Christian Voice,UNZA Radio"
60762547,,,"Komboni Radio, 5FM,Hot,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM,","Komboni Radio, 5FM,Hot,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM,","5FM,Hot,Komboni Radio,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM,",,nan,Komboni Radio,"5FM,Komboni Radio,Q FM,Radio 1,Radio 2,Radio Christian Voice,UNZA Radio"
60762548,,,"Radio Christian Voice,Komboni Radio,Millennium, 5FM,Hot,Joy,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","Radio Christian Voice,Komboni Radio,Millennium, 5FM,Hot,Joy,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM","Komboni Radio,Q FM","Komboni Radio,Q FM","Radio Christian Voice,Hot,Phoenix,Q FM,Radio 1","Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM"
60762549,,,"Komboni Radio,Millennium,Power,Q FM,Radio 1, 5FM,Ama,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Parliament,Phoenix,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","Komboni Radio,Millennium,Power,Q FM,Radio 1, 5FM,Ama,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Parliament,Phoenix,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","5FM,Ama,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,",,nan,"5FM,Evelyn, Hone,Komboni Radio,Q FM,Radio 1","5FM,Ama,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4"
60762550,,,"Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,Yatsani, Yangeni FM,Radio 1, 5FM,BBC,One Love,Phoenix,Power,Radio 4,Rise,Roots,United Voice,UNZA Radio,Radio 2,Radio 4,Radio 1,","Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,Yatsani, Yangeni FM,Radio 1, 5FM,BBC,One Love,Phoenix,Power,Radio 4,Rise,Roots,United Voice,UNZA Radio,Radio 2,Radio 4,Radio 1,","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4",,Komboni Radio,"5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Q FM,Radio 1,UNZA Radio","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,United Voice,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4"
60762551,,,"Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,UNZA Radio, 5FM,BBC,Joy,Millennium,One Love,Phoenix,Power,Q FM,Radio Christian Voice,Rise,Rock FM,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Radio 1,Radio 2,Radio 4,UNZA Radio, 5FM,BBC,Joy,Millennium,One Love,Phoenix,Power,Q FM,Radio Christian Voice,Rise,Rock FM,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4",,Radio 1,"Radio Christian Voice,Q FM,Radio 1,Radio Christian Voice","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4"
60762552,,,"Radio Christian Voice,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM, 5FM,BBC,Millennium,One Love,Radio 1,Radio 2,Radio 4,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","Radio Christian Voice,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM, 5FM,BBC,Millennium,One Love,Radio 1,Radio 2,Radio 4,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","Radio Christian Voice,Joy,Komboni Radio,Q FM,Radio 1","Joy,Komboni Radio","5FM,Phoenix,Power,Q FM,Radio 1,UNZA Radio","5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,One Love,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,Radio 4"
60762553,,,"Evelyn, Hone,Hot,Joy,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, 5FM,BBC,Millennium,Phoenix,Power,Q FM,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,","Evelyn, Hone,Hot,Joy,Komboni Radio,Radio 1,Radio 2,Radio 4,Radio Christian Voice, 5FM,BBC,Millennium,Phoenix,Power,Q FM,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,","5FM,BBC,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,",,nan,Q FM,"5FM,BBC,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1"
60762554,,,"Radio 1,Radio 2,UNZA Radio, 5FM,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 4,Radio Christian Voice,Rock FM,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,Radio 1,","Radio 1,Radio 2,UNZA Radio, 5FM,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 4,Radio Christian Voice,Rock FM,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,Radio 1,","5FM,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,Radio 1,",,nan,Komboni Radio,"Hot,Joy,Komboni Radio,Q FM,Radio 1"
60762555,,,"Komboni Radio, Radio Christian Voice,Hot,Joy,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,","Komboni Radio, Radio Christian Voice,Hot,Joy,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,","Hot,Joy,Komboni Radio,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM",Komboni Radio,Komboni Radio,"Komboni Radio,Radio 1,Radio 1","Radio Christian Voice,Hot,Joy,Komboni Radio,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM"
60762556,,,"Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4, 5FM,Radio Christian Voice,UNZA Radio,","Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4, 5FM,Radio Christian Voice,UNZA Radio,","5FM,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio",Komboni Radio,"Komboni Radio,Radio 1","Komboni Radio,Radio 1,Radio Christian Voice","5FM,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio"
60762557,,,"Power,Radio 1,Radio 2, 5FM,Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Phoenix,Q FM,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","Power,Radio 1,Radio 2, 5FM,Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Phoenix,Q FM,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","5FM,Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM",Komboni Radio,Komboni Radio,"Komboni Radio,Radio Christian Voice","5FM,Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM"
60762558,,,"Radio 1,Radio 2, Evelyn, Hone,Hot,Komboni Radio,Q FM,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","Radio 1,Radio 2, Evelyn, Hone,Hot,Komboni Radio,Q FM,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","Evelyn, Hone,Hot,Komboni Radio,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM",Komboni Radio,Komboni Radio,"Komboni Radio,Q FM,Radio 1","Evelyn, Hone,Hot,Komboni Radio,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM"
60762559,,,"5FM,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio, BBC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,","5FM,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio, BBC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM",Komboni Radio,"5FM,Hot,Komboni Radio","BBC,Radio Christian Voice,Evelyn, Hone,Hot,Komboni Radio,Radio 1","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM"
60763914,,,"Chongwe,Komboni Radio, 5FM,Radio Christian Voice,Hot,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rise,Rock FM,UNZA Radio,Radio 1,","Chongwe,Komboni Radio, 5FM,Radio Christian Voice,Hot,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rise,Rock FM,UNZA Radio,Radio 1,","5FM,Chongwe,Radio Christian Voice,Hot,Komboni Radio,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rise,Rock FM,UNZA Radio,Radio 1",,"Chongwe,Radio Christian Voice,Komboni Radio,Q FM,Radio 1,Rock FM","Chongwe,Radio Christian Voice,Komboni Radio,Q FM,Radio 1,Rock FM","5FM,Chongwe,Radio Christian Voice,Hot,Komboni Radio,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Rise,Rock FM,UNZA Radio,Radio 1"
60763915,,,"BBC,Phoenix,Maria,Hot,Joy,Komboni Radio,Millennium,One Love,Parliament,Q FM,Radio 1,Radio 2,UNZA Radio,Yatsani, Yangeni FM,Radio 2,","BBC,Phoenix,Maria,Hot,Joy,Komboni Radio,Millennium,One Love,Parliament,Q FM,Radio 1,Radio 2,UNZA Radio,Yatsani, Yangeni FM,Radio 2,","BBC,Hot,Joy,Komboni Radio,Millennium,One Love,Parliament,Phoenix,Q FM,Radio 1,Radio 2,UNZA Radio,Yatsani, Yangeni FM,Radio 2,",,"BBC,Phoenix,Q FM,Radio 1,Radio 2,Yatsani,Yangeni FM","BBC,Phoenix,Q FM,Radio 1,Radio 2,Yatsani, Yangeni FM","BBC,Hot,Joy,Komboni Radio,Millennium,One Love,Parliament,Phoenix,Q FM,Radio 1,Radio 2,UNZA Radio,Yatsani, Yangeni FM,Radio 2,"
60763916,,,"5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Power,Radio 1,Radio 2,Radio 4,UNZA Radio, Phoenix,Q FM,Rock FM,Radio 1,Radio 2,Radio 4,","5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Power,Radio 1,Radio 2,Radio 4,UNZA Radio, Phoenix,Q FM,Rock FM,Radio 1,Radio 2,Radio 4,","5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Rock FM,UNZA Radio,Radio 1,Radio 2,Radio 4,","BBC,Komboni Radio","BBC,Komboni Radio","BBC,Hot,Komboni Radio,Millennium,Phoenix,Q FM,Radio 1,Radio 2,UNZA Radio","5FM,BBC,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Rock FM,UNZA Radio,Radio 1,Radio 2,Radio 4"
60763917,,,"Komboni Radio,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,UNZA Radio,Radio 1,Radio 2, 5FM,Ama,Radio Christian Voice,Hot,Joy,Millennium,Phoenix,Roots,Yatsani, Yangeni FM,","Komboni Radio,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,UNZA Radio,Radio 1,Radio 2, 5FM,Ama,Radio Christian Voice,Hot,Joy,Millennium,Phoenix,Roots,Yatsani, Yangeni FM,","5FM,Ama,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,Roots,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,",,"Komboni Radio,Radio 1","Komboni Radio,Radio 1","5FM,Ama,Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,Roots,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2"
60763918,,,"5FM,Hot,Komboni Radio,Q FM,Radio 1, Ama,BBC,Evelyn, Hone,Joy,Millennium,Modern voice,One Love,Pan African,Phoenix,Radio 2,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,","5FM,Hot,Komboni Radio,Q FM,Radio 1, Ama,BBC,Evelyn, Hone,Joy,Millennium,Modern voice,One Love,Pan African,Phoenix,Radio 2,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,","5FM,Ama,BBC,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,One Love,Pan African,Phoenix,Q FM,Radio 1,Radio 2,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1",,nan,,"5FM,Ama,BBC,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Modern voice,One Love,Pan African,Phoenix,Q FM,Radio 1,Radio 2,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1"
60763919,,,"5FM,Hot,Komboni Radio,Phoenix,Power,Q FM, Millennium,Radio 1,Rock FM,","5FM,Hot,Komboni Radio,Phoenix,Power,Q FM, Millennium,Radio 1,Rock FM,","5FM,Hot,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Rock FM",,nan,Komboni Radio,"5FM,Hot,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Rock FM"
60763920,,,"Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Radio 2,Radio Christian Voice, 5FM,Q FM,Roots,Radio 1,Radio 2,","Evelyn, Hone,Hot,Komboni Radio,Millennium,Radio 1,Radio 2,Radio Christian Voice, 5FM,Q FM,Roots,Radio 1,Radio 2,","5FM,Evelyn, Hone,Hot,Komboni Radio,Millennium,Q FM,Radio 1,Radio 2,Radio Christian Voice,Roots,Radio 1,Radio 2,",,nan,,"5FM,Evelyn, Hone,Hot,Komboni Radio,Millennium,Q FM,Radio 1,Radio 2,Radio Christian Voice,Roots,Radio 1,Radio 2"
