,E! Entertainment  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Yesterday
34,17:15  -  17:29,60553131,Copperbelt,Chingola,Urban,Female,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
35,16:30  -  16:44,60553131,Copperbelt,Chingola,Urban,Female,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
36,12:00  -  12:14,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
37,11:15  -  11:29,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
38,11:00  -  11:14,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
39,10:45  -  10:59,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
40,11:30  -  11:44,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
41,11:45  -  11:59,60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
42,19:00  -  19:14,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
43,19:15  -  19:29,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
44,19:30  -  19:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
45,20:00  -  20:14,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
46,19:45  -  19:59,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
47,23:45  -  23:59,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
48,23:00  -  23:14,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
