,E! Entertainment  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Monday
29,15:45  -  15:59,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
30,18:45  -  18:59,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
31,19:30  -  19:44,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
32,18:15  -  18:29,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
33,16:45  -  16:59,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
34,15:30  -  15:44,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
35,17:15  -  17:29,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
36,16:30  -  16:44,60650166,Copperbelt,Chilililabombwe,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
37,14:15  -  14:29,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
38,14:45  -  14:59,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
39,15:00  -  15:14,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
40,14:00  -  14:14,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
41,14:30  -  14:44,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
42,10:15  -  10:29,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
43,10:30  -  10:44,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
