,Disney XD  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney XD  Yesterday
28,23:15  -  23:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
29,21:30  -  21:44                                                                    12:15  -  12:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
30,17:15  -  17:29,134670800,Western,Kaoma,Urban,Female,0,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
31,21:15  -  21:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
32,22:30  -  22:44,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
33,23:00  -  23:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
34,22:00  -  22:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
35,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
36,22:15  -  22:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
37,17:30  -  17:44,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
38,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
39,22:45  -  22:59,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
40,23:30  -  23:44,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
41,21:00  -  21:14,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
42,23:15  -  23:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
43,21:30  -  21:44                                                                    12:15  -  12:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
44,17:15  -  17:29,134866529,Muchinga,Mpika,Urban,Male,2,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                         22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                                                                                                  20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44                                                                    12:15  -  12:29                                                                                                                                                                                          "
