,Disney Channel  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Disney Channel  Thursday
52,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
53,7:15  -  7:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
54,16:00  -  16:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
55,0:15  -  0:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
56,7:45  -  7:59                                             15:00  -  15:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
57,7:30  -  7:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
58,22:45  -  22:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
59,16:45  -  16:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
60,16:15  -  16:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
61,9:30  -  9:448:30  -  8:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
62,22:00  -  22:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
63,21:45  -  21:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
64,17:30  -  17:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
65,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
66,6:15  -  6:29,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
67,6:30  -  6:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
68,0:30  -  0:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
69,6:45  -  6:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
70,15:30  -  15:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
71,19:15  -  19:29                                7:00  -  7:14,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
72,23:45  -  23:59,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
73,22:30  -  22:44,135044014,Western,Kalabo,Urban,Female,2,,C2,Secondary,Christian,Employed for cash,C2,"K 3,155   -  K 3,890",,25 – 34,"                                                                                          5:30  -  5:44,6:45  -  6:59,6:30  -  6:44,6:15  -  6:29,7:00  -  7:14       9:30  -  9:44                                                                                                                                                                                                                                                                                          16:45  -  16:59,17:00  -  17:14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14                                                                                                                                                                                                                                                                                                                                                                                            19:00  -  19:14,19:15  -  19:29                                7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59                                             15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59                                                                    9:00  -  9:14,9:30  -  9:448:30  -  8:44                                                                                                          "
