,Fox Movies  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox Movies  Monday
52,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,135033639,Western,Kalabo,Rural,Female,0,,DE,Tertiary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
53,16:30  -  16:44,135033639,Western,Kalabo,Rural,Female,0,,DE,Tertiary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
54,20:30  -  20:44,135033639,Western,Kalabo,Rural,Female,0,,DE,Tertiary,Christian,Not employed,,Do not know,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
55,16:15  -  16:29,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
56,20:15  -  20:29,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
57,17:00  -  17:14,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
58,20:00  -  20:14,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
59,20:45  -  20:59,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
60,16:45  -  16:59,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
61,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
62,16:30  -  16:44,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
63,20:30  -  20:44,134938648,Western,Mongu,Rural,Female,0,,DE,Primary,Christian,Not employed,,No Income,,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
64,16:15  -  16:29,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
65,20:15  -  20:29,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
66,17:00  -  17:14,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
67,20:00  -  20:14,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
68,20:45  -  20:59,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
69,16:45  -  16:59,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
70,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
71,16:30  -  16:44,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
72,20:30  -  20:44,135181148,Central,Kabwe,Urban,Male,1,,DE,Secondary,Christian,Not employed,,No Income,,15 – 18,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
