,Fox Movies  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Fox Movies  Monday
14,20:45  -  20:59,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
15,16:45  -  16:59,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
16,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
17,16:30  -  16:44,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
18,20:30  -  20:44,135084806,Muchinga,Chinsali,Urban,Male,1,,C2,Secondary,Christian,Employed for cash,C2,"K 2,500   -  K 3,154",,25 – 34,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
19,16:15  -  16:29,135085542,Muchinga,Chinsali,Urban,Female,0,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
20,20:15  -  20:29,135085542,Muchinga,Chinsali,Urban,Female,0,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
21,17:00  -  17:14,135085542,Muchinga,Chinsali,Urban,Female,0,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
22,20:00  -  20:14,135085542,Muchinga,Chinsali,Urban,Female,0,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
23,20:45  -  20:59,135085542,Muchinga,Chinsali,Urban,Female,0,,C2,Primary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14                                                                                                                                                                                                                                                                                                                                                                                                                               16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14                                                                                                                                                                          "
